epoch,phase,loss,acc
1,train,0.9053052730560303,0.5285
1,validation,0.7569159841537476,0.6533333333333333
2,train,0.6683642740249633,0.6835
2,validation,0.7299983549118042,0.6533333333333333
3,train,0.529173237323761,0.744
3,validation,0.7049339248736699,0.6733333333333333
4,train,0.43318036770820617,0.7765
4,validation,0.6334662954012553,0.7066666666666667
5,train,0.3630285882949829,0.8275
5,validation,0.6639890853563944,0.6933333333333334
6,train,0.2627534476518631,0.884
6,validation,0.6539806985855102,0.7133333333333334
7,train,0.18057378739118576,0.9245
7,validation,0.700258135398229,0.7
8,train,0.13512309277057646,0.937
8,validation,0.6817130486170451,0.74
9,train,0.11817677450180054,0.9565
9,validation,0.6805615937709808,0.72
10,train,0.1164879440665245,0.958
10,validation,0.6827211503187816,0.74
11,train,0.10016260522603988,0.9645
11,validation,0.6624057467778524,0.74
12,train,0.10402312329411506,0.9675
12,validation,0.6840017573038737,0.74
13,train,0.08872282993793487,0.974
13,validation,0.6742468655109406,0.7466666666666667
14,train,0.08710186848044396,0.9735
14,validation,0.694429653485616,0.7533333333333333
15,train,0.08671162244677544,0.977
15,validation,0.6915726812680563,0.7466666666666667
16,train,0.08150991320610046,0.977
16,validation,0.6743243110179901,0.7533333333333333
17,train,0.08665031456947327,0.9795
17,validation,0.6662128965059916,0.7533333333333333
18,train,0.08461013126373292,0.976
18,validation,0.681783199707667,0.7333333333333333
19,train,0.09053396517038345,0.9705
19,validation,0.6846437386671702,0.74
20,train,0.0913963760137558,0.977
20,validation,0.6964425392945608,0.7466666666666667
21,train,0.08225072056055069,0.9725
21,validation,0.6671318058172861,0.7266666666666667
22,train,0.08454691630601884,0.9715
22,validation,0.685225639740626,0.74
23,train,0.08156051820516587,0.977
23,validation,0.674233672618866,0.7333333333333333
24,train,0.08340972185134887,0.976
24,validation,0.6735368498166402,0.74
25,train,0.0765693148970604,0.9815
25,validation,0.6834152988592783,0.7333333333333333
