epoch,phase,loss,acc
1,train,1.0426447772979737,0.479
1,validation,0.9805503972371419,0.5866666666666667
2,train,0.9073169975280762,0.5675
2,validation,0.91983145236969,0.5533333333333333
3,train,0.7969042339324951,0.587
3,validation,0.9834281489253044,0.5
4,train,0.7487197928428649,0.617
4,validation,0.6902691761652628,0.68
5,train,0.7354215760231018,0.619
5,validation,0.6677366987864176,0.6733333333333333
6,train,0.6531752486228943,0.655
6,validation,0.8517041610678037,0.5733333333333334
7,train,0.6208796873092651,0.685
7,validation,0.5814985740184784,0.7333333333333333
8,train,0.5241084613800049,0.733
8,validation,0.6300104902187983,0.6866666666666666
9,train,0.4852330288887024,0.755
9,validation,0.5915898621082306,0.72
10,train,0.4861126794815063,0.7515
10,validation,0.603652591307958,0.7133333333333334
11,train,0.47479471015930175,0.7675
11,validation,0.6684610892335574,0.6866666666666666
12,train,0.462278028011322,0.7615
12,validation,0.6078573099772135,0.7133333333333334
13,train,0.46251686835289,0.769
13,validation,0.6131727353731791,0.7133333333333334
14,train,0.4501458671092987,0.761
14,validation,0.6105618415276209,0.74
15,train,0.4387650399208069,0.772
15,validation,0.6135304816563925,0.7266666666666667
16,train,0.42931248354911805,0.777
16,validation,0.610817631483078,0.7266666666666667
17,train,0.42604254603385927,0.777
17,validation,0.6100047026077906,0.72
18,train,0.4251885509490967,0.7955
18,validation,0.6108286799987157,0.72
19,train,0.43202920985221865,0.777
19,validation,0.6041957281033198,0.72
20,train,0.42093292117118836,0.7745
20,validation,0.6053278746207555,0.7266666666666667
21,train,0.4289353917837143,0.78
21,validation,0.6087100446224213,0.7333333333333333
22,train,0.4228615231513977,0.789
22,validation,0.6081040559212366,0.7333333333333333
23,train,0.41830706238746646,0.792
23,validation,0.6083865064382553,0.7333333333333333
24,train,0.42270035243034365,0.7855
24,validation,0.6085276424884796,0.7333333333333333
25,train,0.4253438413143158,0.7855
25,validation,0.6075190071264903,0.7333333333333333
