model,image_id,fae_method,metric,score
resnet18,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.08567821234464645
resnet18,ISIC_0012258,integrated_gradients,max_sensitivity,1.4690380096435547
resnet18,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,2.0368359088897705
resnet18,ISIC_0012258,saliency,faithfulness_correlation,-0.20759685337543488
resnet18,ISIC_0012258,saliency,max_sensitivity,0.8591338396072388
resnet18,ISIC_0012258,saliency,relevance_mass_accuracy,0.10524319112300873
resnet18,ISIC_0012258,gradcam,faithfulness_correlation,0.06978760659694672
resnet18,ISIC_0012258,gradcam,max_sensitivity,2.2649941444396973
resnet18,ISIC_0012258,gradcam,relevance_mass_accuracy,0.014693877659738064
resnet18,ISIC_0012258,deep_lift,faithfulness_correlation,0.14412707090377808
resnet18,ISIC_0012258,deep_lift,max_sensitivity,1.3553847074508667
resnet18,ISIC_0012258,deep_lift,relevance_mass_accuracy,-0.039258427917957306
resnet18,ISIC_0012258,guided_backprop,faithfulness_correlation,-0.18219654262065887
resnet18,ISIC_0012258,guided_backprop,max_sensitivity,0.9717051982879639
resnet18,ISIC_0012258,guided_backprop,relevance_mass_accuracy,0.101165272295475
resnet18,ISIC_0012258,lrp,faithfulness_correlation,-0.09744549542665482
resnet18,ISIC_0012258,lrp,max_sensitivity,8.518659591674805
resnet18,ISIC_0012258,lrp,relevance_mass_accuracy,-0.26234766840934753
resnet18,ISIC_0012258,occlusion,faithfulness_correlation,-0.0712929517030716
resnet18,ISIC_0012258,occlusion,max_sensitivity,1.6195487976074219
resnet18,ISIC_0012258,occlusion,relevance_mass_accuracy,0.2465239316225052
squeezenet,ISIC_0012258,integrated_gradients,faithfulness_correlation,-0.013903366401791573
squeezenet,ISIC_0012258,integrated_gradients,max_sensitivity,1.3341370820999146
squeezenet,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,0.17001037299633026
squeezenet,ISIC_0012258,saliency,faithfulness_correlation,0.21566864848136902
squeezenet,ISIC_0012258,saliency,max_sensitivity,0.9356931447982788
squeezenet,ISIC_0012258,saliency,relevance_mass_accuracy,0.10434480756521225
squeezenet,ISIC_0012258,gradcam,faithfulness_correlation,0.3082578182220459
squeezenet,ISIC_0012258,gradcam,max_sensitivity,0.4055466949939728
squeezenet,ISIC_0012258,gradcam,relevance_mass_accuracy,0.09101289510726929
squeezenet,ISIC_0012258,deep_lift,faithfulness_correlation,-0.01965399459004402
squeezenet,ISIC_0012258,deep_lift,max_sensitivity,1.413987636566162
squeezenet,ISIC_0012258,deep_lift,relevance_mass_accuracy,0.06206900253891945
squeezenet,ISIC_0012258,guided_backprop,faithfulness_correlation,-0.05928347259759903
squeezenet,ISIC_0012258,guided_backprop,max_sensitivity,1.0717980861663818
squeezenet,ISIC_0012258,guided_backprop,relevance_mass_accuracy,0.11651520431041718
squeezenet,ISIC_0012258,lrp,faithfulness_correlation,0.01775997504591942
squeezenet,ISIC_0012258,lrp,max_sensitivity,1.3835984468460083
squeezenet,ISIC_0012258,lrp,relevance_mass_accuracy,-2.3058292865753174
squeezenet,ISIC_0012258,occlusion,faithfulness_correlation,-0.0011085527949035168
squeezenet,ISIC_0012258,occlusion,max_sensitivity,0.7703180909156799
squeezenet,ISIC_0012258,occlusion,relevance_mass_accuracy,0.2652243375778198
resnet18,ISIC_0012356,integrated_gradients,faithfulness_correlation,0.05726497620344162
resnet18,ISIC_0012356,integrated_gradients,max_sensitivity,1.3457133769989014
resnet18,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,0.011791528202593327
resnet18,ISIC_0012356,saliency,faithfulness_correlation,0.0492134653031826
resnet18,ISIC_0012356,saliency,max_sensitivity,0.8504446744918823
resnet18,ISIC_0012356,saliency,relevance_mass_accuracy,0.5296792984008789
resnet18,ISIC_0012356,gradcam,faithfulness_correlation,0.04002966359257698
resnet18,ISIC_0012356,gradcam,max_sensitivity,1.1030473709106445
resnet18,ISIC_0012356,gradcam,relevance_mass_accuracy,0.4727835953235626
resnet18,ISIC_0012356,deep_lift,faithfulness_correlation,0.18445825576782227
resnet18,ISIC_0012356,deep_lift,max_sensitivity,1.1478796005249023
resnet18,ISIC_0012356,deep_lift,relevance_mass_accuracy,0.04784481227397919
resnet18,ISIC_0012356,guided_backprop,faithfulness_correlation,0.04032003507018089
