model,image_id,fae_method,metric,score
resnet18,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.08567821234464645
resnet18,ISIC_0012258,integrated_gradients,max_sensitivity,1.4690380096435547
resnet18,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,2.0368359088897705
resnet18,ISIC_0012258,saliency,faithfulness_correlation,-0.20759685337543488
resnet18,ISIC_0012258,saliency,max_sensitivity,0.8591338396072388
resnet18,ISIC_0012258,saliency,relevance_mass_accuracy,0.10524319112300873
resnet18,ISIC_0012258,gradcam,faithfulness_correlation,0.06978760659694672
resnet18,ISIC_0012258,gradcam,max_sensitivity,2.2649941444396973
resnet18,ISIC_0012258,gradcam,relevance_mass_accuracy,0.014693877659738064
squeezenet,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.0859137699007988
squeezenet,ISIC_0012258,integrated_gradients,max_sensitivity,1.3782979249954224
squeezenet,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,0.17001037299633026
squeezenet,ISIC_0012258,saliency,faithfulness_correlation,0.07378944754600525
squeezenet,ISIC_0012258,saliency,max_sensitivity,0.9762542843818665
squeezenet,ISIC_0012258,saliency,relevance_mass_accuracy,0.10434480756521225
squeezenet,ISIC_0012258,gradcam,faithfulness_correlation,0.2616496682167053
squeezenet,ISIC_0012258,gradcam,max_sensitivity,0.4095093607902527
squeezenet,ISIC_0012258,gradcam,relevance_mass_accuracy,0.09101289510726929
resnet18,ISIC_0012356,integrated_gradients,faithfulness_correlation,0.02136811800301075
resnet18,ISIC_0012356,integrated_gradients,max_sensitivity,1.3743022680282593
resnet18,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,0.011791528202593327
resnet18,ISIC_0012356,saliency,faithfulness_correlation,0.040357500314712524
resnet18,ISIC_0012356,saliency,max_sensitivity,0.854623019695282
resnet18,ISIC_0012356,saliency,relevance_mass_accuracy,0.5296792984008789
resnet18,ISIC_0012356,gradcam,faithfulness_correlation,-0.03401359170675278
resnet18,ISIC_0012356,gradcam,max_sensitivity,1.115063190460205
resnet18,ISIC_0012356,gradcam,relevance_mass_accuracy,0.4727835953235626
squeezenet,ISIC_0012356,integrated_gradients,faithfulness_correlation,-0.07173924893140793
squeezenet,ISIC_0012356,integrated_gradients,max_sensitivity,1.4195045232772827
squeezenet,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,-0.0576418898999691
squeezenet,ISIC_0012356,saliency,faithfulness_correlation,0.24438728392124176
squeezenet,ISIC_0012356,saliency,max_sensitivity,1.026445746421814
squeezenet,ISIC_0012356,saliency,relevance_mass_accuracy,0.5077001452445984
squeezenet,ISIC_0012356,gradcam,faithfulness_correlation,-0.00819555763155222
squeezenet,ISIC_0012356,gradcam,max_sensitivity,0.5477131605148315
squeezenet,ISIC_0012356,gradcam,relevance_mass_accuracy,0.3694925010204315
resnet18,ISIC_0012369,integrated_gradients,faithfulness_correlation,0.06730668246746063
resnet18,ISIC_0012369,integrated_gradients,max_sensitivity,1.3374849557876587
resnet18,ISIC_0012369,integrated_gradients,relevance_mass_accuracy,-0.9588801264762878
resnet18,ISIC_0012369,saliency,faithfulness_correlation,-0.021643545478582382
resnet18,ISIC_0012369,saliency,max_sensitivity,0.863190770149231
resnet18,ISIC_0012369,saliency,relevance_mass_accuracy,0.3046357333660126
resnet18,ISIC_0012369,gradcam,faithfulness_correlation,0.3098088502883911
resnet18,ISIC_0012369,gradcam,max_sensitivity,0.5447659492492676
resnet18,ISIC_0012369,gradcam,relevance_mass_accuracy,0.36924535036087036
squeezenet,ISIC_0012369,integrated_gradients,faithfulness_correlation,0.08850854635238647
squeezenet,ISIC_0012369,integrated_gradients,max_sensitivity,1.3491315841674805
squeezenet,ISIC_0012369,integrated_gradients,relevance_mass_accuracy,-0.672306478023529
squeezenet,ISIC_0012369,saliency,faithfulness_correlation,0.3253088593482971
squeezenet,ISIC_0012369,saliency,max_sensitivity,0.9042283296585083
squeezenet,ISIC_0012369,saliency,relevance_mass_accuracy,0.22291062772274017
squeezenet,ISIC_0012369,gradcam,faithfulness_correlation,0.5082957148551941
squeezenet,ISIC_0012369,gradcam,max_sensitivity,1.071977972984314
squeezenet,ISIC_0012369,gradcam,relevance_mass_accuracy,0.17620979249477386
