model,image_id,fae_method,metric,score
resnet18,ISIC_0012258,integrated_gradients,faithfulness_correlation,-0.010995250195264816
resnet18,ISIC_0012258,integrated_gradients,max_sensitivity,1.3442336320877075
resnet18,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,0.8450145125389099
resnet18,ISIC_0012258,saliency,faithfulness_correlation,-0.023014061152935028
resnet18,ISIC_0012258,saliency,max_sensitivity,0.8947346210479736
resnet18,ISIC_0012258,saliency,relevance_mass_accuracy,0.09520263224840164
resnet18,ISIC_0012258,gradcam,faithfulness_correlation,0.06521829217672348
resnet18,ISIC_0012258,gradcam,max_sensitivity,0.8912916779518127
resnet18,ISIC_0012258,gradcam,relevance_mass_accuracy,-0.03046523779630661
squeezenet,ISIC_0012258,integrated_gradients,faithfulness_correlation,-0.005992888007313013
squeezenet,ISIC_0012258,integrated_gradients,max_sensitivity,1.6784284114837646
squeezenet,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,0.25905704498291016
squeezenet,ISIC_0012258,saliency,faithfulness_correlation,0.14301158487796783
squeezenet,ISIC_0012258,saliency,max_sensitivity,1.1687390804290771
squeezenet,ISIC_0012258,saliency,relevance_mass_accuracy,0.06938864290714264
squeezenet,ISIC_0012258,gradcam,faithfulness_correlation,0.3157896101474762
squeezenet,ISIC_0012258,gradcam,max_sensitivity,0.8612017035484314
squeezenet,ISIC_0012258,gradcam,relevance_mass_accuracy,0.0606185682117939
resnet18,ISIC_0012356,integrated_gradients,faithfulness_correlation,0.058763064444065094
resnet18,ISIC_0012356,integrated_gradients,max_sensitivity,1.3971917629241943
resnet18,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,1.137505292892456
resnet18,ISIC_0012356,saliency,faithfulness_correlation,0.04064489156007767
resnet18,ISIC_0012356,saliency,max_sensitivity,0.9581466317176819
resnet18,ISIC_0012356,saliency,relevance_mass_accuracy,0.480009526014328
resnet18,ISIC_0012356,gradcam,faithfulness_correlation,0.02374476008117199
resnet18,ISIC_0012356,gradcam,max_sensitivity,0.6662535071372986
resnet18,ISIC_0012356,gradcam,relevance_mass_accuracy,0.41474342346191406
squeezenet,ISIC_0012356,integrated_gradients,faithfulness_correlation,-0.0024432376958429813
squeezenet,ISIC_0012356,integrated_gradients,max_sensitivity,1.4475040435791016
squeezenet,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,-0.5300856232643127
squeezenet,ISIC_0012356,saliency,faithfulness_correlation,-0.015944859012961388
squeezenet,ISIC_0012356,saliency,max_sensitivity,0.9291439652442932
squeezenet,ISIC_0012356,saliency,relevance_mass_accuracy,0.5750722885131836
squeezenet,ISIC_0012356,gradcam,faithfulness_correlation,0.2045828402042389
squeezenet,ISIC_0012356,gradcam,max_sensitivity,0.7918030619621277
squeezenet,ISIC_0012356,gradcam,relevance_mass_accuracy,0.7999889254570007
resnet18,ISIC_0012369,integrated_gradients,faithfulness_correlation,-0.15538235008716583
resnet18,ISIC_0012369,integrated_gradients,max_sensitivity,1.7352869510650635
resnet18,ISIC_0012369,integrated_gradients,relevance_mass_accuracy,0.8599134683609009
resnet18,ISIC_0012369,saliency,faithfulness_correlation,-0.06603197008371353
resnet18,ISIC_0012369,saliency,max_sensitivity,1.007680892944336
resnet18,ISIC_0012369,saliency,relevance_mass_accuracy,0.17829002439975739
resnet18,ISIC_0012369,gradcam,faithfulness_correlation,0.2779217064380646
resnet18,ISIC_0012369,gradcam,max_sensitivity,0.7168301343917847
resnet18,ISIC_0012369,gradcam,relevance_mass_accuracy,-0.5575186610221863
squeezenet,ISIC_0012369,integrated_gradients,faithfulness_correlation,-0.08315764367580414
squeezenet,ISIC_0012369,integrated_gradients,max_sensitivity,1.3443511724472046
squeezenet,ISIC_0012369,integrated_gradients,relevance_mass_accuracy,1.1709332466125488
squeezenet,ISIC_0012369,saliency,faithfulness_correlation,0.15793761610984802
squeezenet,ISIC_0012369,saliency,max_sensitivity,1.0275816917419434
squeezenet,ISIC_0012369,saliency,relevance_mass_accuracy,0.25277864933013916
squeezenet,ISIC_0012369,gradcam,faithfulness_correlation,0.18292300403118134
squeezenet,ISIC_0012369,gradcam,max_sensitivity,0.5701050758361816
squeezenet,ISIC_0012369,gradcam,relevance_mass_accuracy,0.4118756949901581
resnet18,ISIC_0012395,integrated_gradients,faithfulness_correlation,0.01590821146965027
resnet18,ISIC_0012395,integrated_gradients,max_sensitivity,1.4041887521743774
resnet18,ISIC_0012395,integrated_gradients,relevance_mass_accuracy,1.471624493598938
resnet18,ISIC_0012395,saliency,faithfulness_correlation,0.055194657295942307
resnet18,ISIC_0012395,saliency,max_sensitivity,0.9579018354415894
resnet18,ISIC_0012395,saliency,relevance_mass_accuracy,0.11470683664083481
