model,fae_method,metric,ar_score,monotonicity,scores,runtime_seconds
resnet18,integrated_gradients,max_sensitivity,0.9999999999999999,0.9999999999999999,1.28324;1.29973;1.32893;1.34852;1.34858,124.6
resnet18,integrated_gradients,avg_sensitivity,0.9999999999999999,0.9999999999999999,1.23102;1.248;1.25596;1.27452;1.29575,126.3
resnet18,integrated_gradients,random_logit,0.7,0.7,0.580909;0.609262;0.564535;0.637868;0.766115,16.8
resnet18,saliency,max_sensitivity,0.9999999999999999,0.9999999999999999,0.865002;0.947073;1.04009;1.10423;1.17995,53.2
resnet18,saliency,avg_sensitivity,0.9999999999999999,0.9999999999999999,0.842177;0.924529;1.00099;1.07313;1.13559,53.2
resnet18,saliency,random_logit,0.09999999999999999,0.09999999999999999,0.532503;0.445162;0.401471;0.402737;0.6225,8.5
resnet18,gradcam,max_sensitivity,0.9999999999999999,0.9999999999999999,1.24202;1.29779;1.4669;1.57471;1.58003,36.7
resnet18,gradcam,avg_sensitivity,0.9999999999999999,0.9999999999999999,0.89217;1.06761;1.20192;1.32107;1.40729,35.1
resnet18,gradcam,random_logit,0.3,-0.3,0.530222;0.11544;0.0782515;0.0945695;0.353903,6.7
resnet18,deep_lift,max_sensitivity,0.8999999999999998,0.8999999999999998,1.22653;1.2564;1.28752;1.30227;1.29465,67.9
resnet18,deep_lift,avg_sensitivity,0.9999999999999999,0.9999999999999999,1.17487;1.19514;1.20983;1.23395;1.24575,68.6
resnet18,deep_lift,random_logit,0.09999999999999999,0.09999999999999999,0.666907;0.590957;0.557772;0.586233;0.739005,10.4
resnet18,guided_backprop,max_sensitivity,0.9999999999999999,0.9999999999999999,1.00059;1.1301;1.26219;1.36557;1.45101,54.7
resnet18,guided_backprop,avg_sensitivity,0.9999999999999999,0.9999999999999999,0.914037;1.04497;1.13707;1.24067;1.32238,54.7
resnet18,guided_backprop,random_logit,0.7,-0.7,0.983541;0.900847;0.858331;0.84956;0.896246,8.8
resnet18,lrp,max_sensitivity,0.3,-0.3,201.503;4035.4;1463.48;2883.63;118.16,53.6
resnet18,lrp,avg_sensitivity,0.09999999999999999,0.09999999999999999,11.2306;64.176;143.939;59.3933;27.653,53.6
resnet18,lrp,random_logit,0.9999999999999999,0.9999999999999999,0.962042;0.962571;0.966759;0.973841;0.985734,8.5
resnet18,occlusion,max_sensitivity,0.9999999999999999,0.9999999999999999,1.43365;1.48752;1.56751;1.60138;1.67698,1840.7
resnet18,occlusion,avg_sensitivity,0.9999999999999999,0.9999999999999999,1.14468;1.25471;1.33634;1.42066;1.46774,1836.7
resnet18,occlusion,random_logit,0.3,-0.3,0.436138;0.178124;0.142146;0.163217;0.423763,211.8
squeezenet,integrated_gradients,max_sensitivity,0.9999999999999999,0.9999999999999999,1.39356;1.43672;1.46983;1.49426;1.54708,87.4
squeezenet,integrated_gradients,avg_sensitivity,0.9999999999999999,0.9999999999999999,1.308;1.344;1.36522;1.40845;1.44979,88.1
squeezenet,integrated_gradients,random_logit,0.7,0.7,0.784578;0.756933;0.768595;0.795192;0.870743,12.8
squeezenet,saliency,max_sensitivity,0.9999999999999999,0.9999999999999999,0.984055;1.0764;1.19136;1.27694;1.34127,50.9
squeezenet,saliency,avg_sensitivity,0.9999999999999999,0.9999999999999999,0.929185;1.02786;1.11914;1.2048;1.27814,52.2
squeezenet,saliency,random_logit,0.7,0.7,0.695122;0.669749;0.67222;0.732913;0.855115,9.1
squeezenet,gradcam,max_sensitivity,0.9999999999999999,0.9999999999999999,1.08712;1.32816;1.53767;1.73288;1.86339,37.4
squeezenet,gradcam,avg_sensitivity,0.9999999999999999,0.9999999999999999,0.882003;1.18332;1.36373;1.55665;1.70635,37.3
squeezenet,gradcam,random_logit,0.3,0.3,0.622616;0.440159;0.42253;0.464977;0.668359,6.8
squeezenet,deep_lift,max_sensitivity,0.9999999999999999,0.9999999999999999,1.38435;1.44174;1.48359;1.52004;1.5801,66.6
squeezenet,deep_lift,avg_sensitivity,0.9999999999999999,0.9999999999999999,1.3111;1.36183;1.3926;1.42073;1.46307,66.6
squeezenet,deep_lift,random_logit,0.3,0.3,0.769391;0.749164;0.746114;0.766834;0.872195,10.7
squeezenet,guided_backprop,max_sensitivity,0.9999999999999999,0.9999999999999999,1.19475;1.27796;1.3764;1.46814;1.54879,55.5
squeezenet,guided_backprop,avg_sensitivity,0.9999999999999999,0.9999999999999999,1.12675;1.22429;1.30206;1.38854;1.46867,55.0
squeezenet,guided_backprop,random_logit,0.09999999999999999,0.09999999999999999,0.88785;0.837089;0.818441;0.829736;0.903142,9.1
squeezenet,lrp,max_sensitivity,0.9999999999999999,0.9999999999999999,1.3809;1.38248;1.40653;1.42021;1.43138,62.6
squeezenet,lrp,avg_sensitivity,0.9999999999999999,0.9999999999999999,1.28334;1.30084;1.31361;1.33248;1.34382,63.2
squeezenet,lrp,random_logit,0.7,0.7,0.738617;0.717852;0.733142;0.774202;0.868769,10.3
squeezenet,occlusion,max_sensitivity,0.9999999999999999,0.9999999999999999,1.12438;1.24969;1.3566;1.5296;1.63082,1704.2
squeezenet,occlusion,avg_sensitivity,0.9999999999999999,0.9999999999999999,0.89417;1.10455;1.21853;1.37093;1.47988,1677.4
squeezenet,occlusion,random_logit,0.3,0.3,0.50289;0.28091;0.250518;0.28445;0.524471,192.6
