model,fae_method,metric,ar_score,monotonicity,expected_sign,wrong_direction,n_images,n_levels,scores,runtime_seconds
resnet18,deep_lift,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,1.23796;1.25054;1.25752;1.27221;1.27879;1.29672;1.31381;1.318;1.33066;1.34661,595.4
resnet18,gradcam,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,0.918952;1.01666;1.11771;1.16878;1.27395;1.3294;1.42186;1.48235;1.53227;1.61723,311.2
resnet18,guided_backprop,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,0.9736;1.03179;1.08084;1.14273;1.21094;1.25972;1.31105;1.36931;1.43819;1.47217,435.0
resnet18,integrated_gradients,max_sensitivity,0.9878787878787878,0.9878787878787878,1,False,64,10,1.28398;1.2943;1.3104;1.32059;1.32682;1.34593;1.34578;1.36286;1.37251;1.38195,1139.6
resnet18,lrp,max_sensitivity,0.32121212121212117,-0.32121212121212117,1,False,64,10,833.426;15298;3068.92;1031;1473.15;876.443;292.157;449.223;32034.1;347.416,443.4
resnet18,occlusion,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,1.20351;1.25874;1.28147;1.32783;1.40608;1.43939;1.48468;1.52383;1.56633;1.60733,16950.4
resnet18,saliency,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,0.864891;0.91177;0.955274;0.993128;1.03776;1.07259;1.11684;1.14972;1.19162;1.22958,433.5
squeezenet,deep_lift,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,1.31213;1.33475;1.35069;1.37412;1.39251;1.40651;1.43077;1.45346;1.46652;1.49515,569.8
squeezenet,gradcam,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,0.877429;1.01676;1.13601;1.25091;1.33593;1.43752;1.51717;1.60709;1.67564;1.74875,337.0
squeezenet,guided_backprop,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,1.08921;1.13757;1.18561;1.23619;1.28445;1.32998;1.37146;1.4314;1.47278;1.50721,437.7
squeezenet,integrated_gradients,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,1.33988;1.36034;1.37285;1.39763;1.42001;1.43444;1.45789;1.47086;1.5043;1.52615,743.1
squeezenet,lrp,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,1.32147;1.32557;1.33114;1.34763;1.34967;1.35342;1.37298;1.38235;1.39705;1.40038,524.4
squeezenet,occlusion,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,0.968084;1.05759;1.12878;1.21566;1.29406;1.3582;1.4203;1.48866;1.5422;1.61385,16161.4
squeezenet,saliency,max_sensitivity,0.9999999999999999,0.9999999999999999,1,False,64,10,0.9512;0.996548;1.03999;1.0917;1.1294;1.16995;1.21581;1.2536;1.29361;1.33162,407.3
resnet18,deep_lift,random_logit,0.01818181818181818,0.01818181818181818,1,False,64,10,0.658872;0.617908;0.580487;0.561243;0.543205;0.539131;0.540019;0.564779;0.620115;0.732061,86.4
resnet18,gradcam,random_logit,0.1515151515151515,-0.1515151515151515,1,False,64,10,0.62126;0.237268;0.119782;0.0832204;0.0710238;0.0680229;0.0712864;0.0863928;0.138419;0.327755,51.0
resnet18,guided_backprop,random_logit,0.5878787878787878,-0.5878787878787878,1,True,64,10,0.981167;0.941359;0.903138;0.877836;0.857942;0.845178;0.84047;0.848593;0.858953;0.894255,69.6
resnet18,integrated_gradients,random_logit,0.04242424242424241,0.04242424242424241,1,False,64,10,0.623188;0.585627;0.554795;0.536448;0.526294;0.517413;0.530068;0.543807;0.609447;0.714088,139.6
resnet18,lrp,random_logit,0.5151515151515151,0.5151515151515151,1,False,64,10,0.977876;0.976418;0.974577;0.974746;0.974379;0.97565;0.975389;0.978957;0.981001;0.986467,64.4
resnet18,occlusion,random_logit,0.1515151515151515,-0.1515151515151515,1,False,64,10,0.435694;0.247556;0.173155;0.141718;0.129484;0.12592;0.133254;0.155663;0.213924;0.403339,1698.7
resnet18,saliency,random_logit,0.04242424242424241,0.04242424242424241,1,False,64,10,0.520553;0.473678;0.439035;0.40969;0.3978;0.383774;0.400485;0.423521;0.478136;0.630343,67.2
squeezenet,deep_lift,random_logit,0.5515151515151515,0.5515151515151515,1,False,64,10,0.741573;0.727425;0.709784;0.703712;0.711043;0.713269;0.720112;0.747956;0.790485;0.855029,81.6
squeezenet,gradcam,random_logit,0.04242424242424241,-0.04242424242424241,1,False,64,10,0.591558;0.421209;0.351012;0.321613;0.310715;0.312172;0.324211;0.352895;0.41583;0.572279,55.0
squeezenet,guided_backprop,random_logit,0.07878787878787878,-0.07878787878787878,1,False,64,10,0.87941;0.850048;0.829428;0.810524;0.803335;0.799858;0.798575;0.811386;0.840757;0.885587,70.8
squeezenet,integrated_gradients,random_logit,0.4787878787878787,0.4787878787878787,1,False,64,10,0.784161;0.770176;0.764427;0.757595;0.757863;0.770338;0.76861;0.783477;0.814349;0.871335,99.6
squeezenet,lrp,random_logit,0.5878787878787878,0.5878787878787878,1,False,64,10,0.736015;0.721351;0.716593;0.708008;0.716301;0.719858;0.735956;0.757085;0.799597;0.85979,78.2
squeezenet,occlusion,random_logit,0.05454545454545454,0.05454545454545454,1,False,64,10,0.461364;0.303271;0.237346;0.208476;0.197875;0.198242;0.20791;0.235434;0.303461;0.480849,1663.8
squeezenet,saliency,random_logit,0.5030303030303029,0.5030303030303029,1,False,64,10,0.69774;0.681879;0.66436;0.66669;0.662782;0.665107;0.680995;0.7028;0.747201;0.82515,67.4
