model,fae_method,metric,level_idx,level_frac,batch_idx,n,mean_score,raw_scores,runtime_seconds,timestamp
resnet18,integrated_gradients,max_sensitivity,0,0.0,0,8,1.316554069519043,1.27783;1.22066;1.30471;1.34304;1.23659;1.44297;1.26394;1.4427,22.72,2026-08-26T22:18:27
resnet18,integrated_gradients,max_sensitivity,0,0.0,1,8,1.2935541421175003,1.31732;1.27302;1.267;1.26356;1.23403;1.3302;1.29992;1.36338,15.25,2026-08-26T22:18:43
resnet18,integrated_gradients,max_sensitivity,0,0.0,2,8,1.2548198103904724,1.27855;1.24145;1.33121;1.31485;1.20577;1.22985;1.22398;1.21289,15.96,2026-08-26T22:18:59
resnet18,integrated_gradients,max_sensitivity,0,0.0,3,8,1.2368301451206207,1.24711;1.24577;1.21919;1.29357;1.24889;1.16743;1.24181;1.23087,17.53,2026-08-26T22:19:16
resnet18,integrated_gradients,max_sensitivity,0,0.0,4,8,1.280628740787506,1.27111;1.27189;1.21933;1.39026;1.23063;1.29187;1.28821;1.28174,16.09,2026-08-26T22:19:32
resnet18,integrated_gradients,max_sensitivity,0,0.0,5,8,1.2986774891614914,1.22684;1.4015;1.27448;1.29976;1.2945;1.31221;1.30232;1.2778,16.41,2026-08-26T22:19:49
resnet18,integrated_gradients,max_sensitivity,0,0.0,6,8,1.3033337742090225,1.19855;1.54607;1.31599;1.26522;1.3499;1.32026;1.08767;1.343,15.63,2026-08-26T22:20:04
resnet18,integrated_gradients,max_sensitivity,0,0.0,7,8,1.2874578088521957,1.34656;1.52156;1.17007;1.25071;1.22399;1.25442;1.22236;1.31,16.09,2026-08-26T22:20:20
resnet18,integrated_gradients,max_sensitivity,1,0.1,0,8,1.3216100633144379,1.33191;1.23809;1.24917;1.30942;1.21603;1.48243;1.272;1.47383,15.28,2026-08-26T22:20:36
resnet18,integrated_gradients,max_sensitivity,1,0.1,1,8,1.3019279390573502,1.34896;1.29959;1.22283;1.28493;1.28273;1.27101;1.34838;1.35701,16.11,2026-08-26T22:20:52
resnet18,integrated_gradients,max_sensitivity,1,0.1,2,8,1.2663131654262543,1.28331;1.22612;1.3392;1.34623;1.2106;1.28967;1.21912;1.21626,16.55,2026-08-26T22:21:08
resnet18,integrated_gradients,max_sensitivity,1,0.1,3,8,1.2432243376970291,1.28711;1.26159;1.17584;1.26345;1.28429;1.16431;1.26015;1.24905,17.15,2026-08-26T22:21:25
resnet18,integrated_gradients,max_sensitivity,1,0.1,4,8,1.2869357913732529,1.29521;1.31894;1.22488;1.34039;1.27835;1.27789;1.27835;1.28148,16.6,2026-08-26T22:21:42
resnet18,integrated_gradients,max_sensitivity,1,0.1,5,8,1.3017149865627289,1.25647;1.39382;1.25537;1.30851;1.30201;1.27176;1.35506;1.27071,16.57,2026-08-26T22:21:59
resnet18,integrated_gradients,max_sensitivity,1,0.1,6,8,1.3292503356933594,1.20394;1.6326;1.34883;1.32207;1.28181;1.34227;1.16558;1.33691,16.64,2026-08-26T22:22:15
resnet18,integrated_gradients,max_sensitivity,1,0.1,7,8,1.3034092485904694,1.44293;1.50959;1.20219;1.21793;1.23822;1.26212;1.21789;1.33641,15.55,2026-08-26T22:22:31
resnet18,integrated_gradients,max_sensitivity,2,0.2,0,8,1.3306966871023178,1.34253;1.25533;1.23208;1.33125;1.19921;1.58;1.2696;1.43557,15.35,2026-08-26T22:22:46
resnet18,integrated_gradients,max_sensitivity,2,0.2,1,8,1.3074775487184525,1.32144;1.30958;1.24299;1.30612;1.29249;1.30967;1.31986;1.35768,15.31,2026-08-26T22:23:01
resnet18,integrated_gradients,max_sensitivity,2,0.2,2,8,1.2911237925291061,1.30608;1.34179;1.37537;1.37439;1.22583;1.24076;1.2444;1.22037,15.41,2026-08-26T22:23:17
resnet18,integrated_gradients,max_sensitivity,2,0.2,3,8,1.2804639339447021,1.29003;1.29523;1.23076;1.29967;1.32085;1.17564;1.3234;1.30812,15.63,2026-08-26T22:23:33
resnet18,integrated_gradients,max_sensitivity,2,0.2,4,8,1.3170879930257797,1.29486;1.3134;1.26245;1.36795;1.27319;1.29905;1.40431;1.32151,15.93,2026-08-26T22:23:48
resnet18,integrated_gradients,max_sensitivity,2,0.2,5,8,1.3129197806119919,1.25127;1.39792;1.31353;1.32191;1.28625;1.36199;1.26023;1.31026,16.14,2026-08-26T22:24:05
resnet18,integrated_gradients,max_sensitivity,2,0.2,6,8,1.3402950316667557,1.21114;1.58748;1.29422;1.33862;1.39242;1.32239;1.22749;1.3486,15.36,2026-08-26T22:24:20
resnet18,integrated_gradients,max_sensitivity,2,0.2,7,8,1.3031471073627472,1.3421;1.52474;1.19353;1.23709;1.23066;1.27745;1.25701;1.36259,15.68,2026-08-26T22:24:36
resnet18,integrated_gradients,max_sensitivity,3,0.3,0,8,1.355417788028717,1.34538;1.25922;1.33947;1.35033;1.23973;1.50392;1.37302;1.43226,15.63,2026-08-26T22:24:51
resnet18,integrated_gradients,max_sensitivity,3,0.3,1,8,1.3236565440893173,1.2956;1.32252;1.28355;1.32025;1.31366;1.32951;1.33335;1.39082,15.98,2026-08-26T22:25:07
resnet18,integrated_gradients,max_sensitivity,3,0.3,2,8,1.3124239146709442,1.30051;1.33064;1.38015;1.41271;1.24957;1.27928;1.28825;1.25829,15.68,2026-08-26T22:25:23
resnet18,integrated_gradients,max_sensitivity,3,0.3,3,8,1.2996891289949417,1.28037;1.26006;1.28202;1.30496;1.29601;1.20081;1.43922;1.33407,16.01,2026-08-26T22:25:39
resnet18,integrated_gradients,max_sensitivity,3,0.3,4,8,1.3151438683271408,1.31485;1.32377;1.24115;1.42052;1.274;1.29944;1.32514;1.32229,16.32,2026-08-26T22:25:55
resnet18,integrated_gradients,max_sensitivity,3,0.3,5,8,1.3158111572265625,1.24205;1.40813;1.29174;1.32409;1.3187;1.24654;1.41423;1.28102,15.26,2026-08-26T22:26:11
resnet18,integrated_gradients,max_sensitivity,3,0.3,6,8,1.3390899449586868,1.22373;1.60708;1.3382;1.30948;1.44427;1.29945;1.18722;1.3033,15.34,2026-08-26T22:26:26
resnet18,integrated_gradients,max_sensitivity,3,0.3,7,8,1.3035203516483307,1.3886;1.44414;1.20208;1.2479;1.28966;1.27661;1.27446;1.30471,15.36,2026-08-26T22:26:41
resnet18,integrated_gradients,max_sensitivity,4,0.4,0,8,1.3488775491714478,1.3215;1.23847;1.32872;1.35761;1.32677;1.46431;1.29846;1.45518,14.74,2026-08-26T22:26:56
resnet18,integrated_gradients,max_sensitivity,4,0.4,1,8,1.344182327389717,1.36877;1.35813;1.30226;1.32278;1.29203;1.37402;1.34357;1.39189,14.67,2026-08-26T22:27:11
resnet18,integrated_gradients,max_sensitivity,4,0.4,2,8,1.3069185018539429,1.35811;1.27565;1.34018;1.3959;1.26149;1.28124;1.28124;1.26154,14.86,2026-08-26T22:27:26
resnet18,integrated_gradients,max_sensitivity,4,0.4,3,8,1.291608527302742,1.3059;1.29327;1.24965;1.34349;1.32751;1.20026;1.31557;1.29721,14.48,2026-08-26T22:27:40
resnet18,integrated_gradients,max_sensitivity,4,0.4,4,8,1.3127965778112411,1.36301;1.29903;1.25589;1.39064;1.29395;1.30438;1.30859;1.28688,14.75,2026-08-26T22:27:55
resnet18,integrated_gradients,max_sensitivity,4,0.4,5,8,1.3332962095737457,1.23623;1.48743;1.29196;1.30721;1.3333;1.27456;1.46395;1.27174,14.62,2026-08-26T22:28:09
resnet18,integrated_gradients,max_sensitivity,4,0.4,6,8,1.3736825585365295,1.25536;1.67502;1.35001;1.30029;1.42193;1.36904;1.20964;1.40817,14.29,2026-08-26T22:28:24
resnet18,integrated_gradients,max_sensitivity,4,0.4,7,8,1.3031680136919022,1.42165;1.42355;1.2066;1.22463;1.25947;1.28956;1.27493;1.32497,14.7,2026-08-26T22:28:38
resnet18,integrated_gradients,max_sensitivity,5,0.5,0,8,1.3859296143054962,1.39025;1.23671;1.38262;1.35995;1.351;1.58171;1.29148;1.49372,14.44,2026-08-26T22:28:53
resnet18,integrated_gradients,max_sensitivity,5,0.5,1,8,1.3366950750350952,1.35613;1.31882;1.28792;1.3197;1.344;1.36362;1.33089;1.37248,13.45,2026-08-26T22:29:06
