model,scheme,method,mean_rank,rank_position,critical_difference,friedman_statistic,friedman_p_value,n_blocks,n_methods
resnet18,uniform,gradcam,2.0,1,2.6007735387764925,43.10714285714283,1.110852691583206e-07,12,7
resnet18,uniform,occlusion,2.25,2,2.6007735387764925,43.10714285714283,1.110852691583206e-07,12,7
resnet18,uniform,saliency,3.0,3,2.6007735387764925,43.10714285714283,1.110852691583206e-07,12,7
resnet18,uniform,integrated_gradients,3.8333333333333335,4,2.6007735387764925,43.10714285714283,1.110852691583206e-07,12,7
resnet18,uniform,deep_lift,5.0,5,2.6007735387764925,43.10714285714283,1.110852691583206e-07,12,7
resnet18,uniform,lrp,5.916666666666667,6,2.6007735387764925,43.10714285714283,1.110852691583206e-07,12,7
resnet18,uniform,guided_backprop,6.0,7,2.6007735387764925,43.10714285714283,1.110852691583206e-07,12,7
resnet18,autoweighted,occlusion,1.75,1,2.6007735387764925,60.10714285714283,4.280978133194363e-11,12,7
resnet18,autoweighted,gradcam,2.0,2,2.6007735387764925,60.10714285714283,4.280978133194363e-11,12,7
resnet18,autoweighted,saliency,2.6666666666666665,3,2.6007735387764925,60.10714285714283,4.280978133194363e-11,12,7
resnet18,autoweighted,integrated_gradients,4.0,4,2.6007735387764925,60.10714285714283,4.280978133194363e-11,12,7
resnet18,autoweighted,deep_lift,4.666666666666667,5,2.6007735387764925,60.10714285714283,4.280978133194363e-11,12,7
resnet18,autoweighted,lrp,6.416666666666667,6,2.6007735387764925,60.10714285714283,4.280978133194363e-11,12,7
resnet18,autoweighted,guided_backprop,6.5,7,2.6007735387764925,60.10714285714283,4.280978133194363e-11,12,7
resnet18,mqdiscount,occlusion,1.4166666666666667,1,2.6007735387764925,63.53571428571428,8.583517798467667e-12,12,7
resnet18,mqdiscount,gradcam,2.25,2,2.6007735387764925,63.53571428571428,8.583517798467667e-12,12,7
resnet18,mqdiscount,saliency,2.5833333333333335,3,2.6007735387764925,63.53571428571428,8.583517798467667e-12,12,7
resnet18,mqdiscount,integrated_gradients,4.083333333333333,4,2.6007735387764925,63.53571428571428,8.583517798467667e-12,12,7
resnet18,mqdiscount,deep_lift,4.666666666666667,5,2.6007735387764925,63.53571428571428,8.583517798467667e-12,12,7
resnet18,mqdiscount,lrp,6.416666666666667,6,2.6007735387764925,63.53571428571428,8.583517798467667e-12,12,7
resnet18,mqdiscount,guided_backprop,6.583333333333333,7,2.6007735387764925,63.53571428571428,8.583517798467667e-12,12,7
resnet18,single_fc,gradcam,2.9166666666666665,1,2.6007735387764925,7.75,0.25699707445167264,12,7
resnet18,single_fc,occlusion,3.3333333333333335,2,2.6007735387764925,7.75,0.25699707445167264,12,7
resnet18,single_fc,saliency,3.8333333333333335,3,2.6007735387764925,7.75,0.25699707445167264,12,7
resnet18,single_fc,deep_lift,4.083333333333333,4,2.6007735387764925,7.75,0.25699707445167264,12,7
resnet18,single_fc,guided_backprop,4.333333333333333,5,2.6007735387764925,7.75,0.25699707445167264,12,7
resnet18,single_fc,integrated_gradients,4.5,6,2.6007735387764925,7.75,0.25699707445167264,12,7
resnet18,single_fc,lrp,5.0,7,2.6007735387764925,7.75,0.25699707445167264,12,7
squeezenet,uniform,gradcam,1.6666666666666667,1,2.6007735387764925,53.53571428571428,9.151345889396557e-10,12,7
squeezenet,uniform,occlusion,1.75,2,2.6007735387764925,53.53571428571428,9.151345889396557e-10,12,7
squeezenet,uniform,saliency,2.75,3,2.6007735387764925,53.53571428571428,9.151345889396557e-10,12,7
squeezenet,uniform,lrp,5.166666666666667,4,2.6007735387764925,53.53571428571428,9.151345889396557e-10,12,7
squeezenet,uniform,deep_lift,5.333333333333333,5,2.6007735387764925,53.53571428571428,9.151345889396557e-10,12,7
squeezenet,uniform,guided_backprop,5.5,6,2.6007735387764925,53.53571428571428,9.151345889396557e-10,12,7
squeezenet,uniform,integrated_gradients,5.833333333333333,7,2.6007735387764925,53.53571428571428,9.151345889396557e-10,12,7
squeezenet,autoweighted,gradcam,1.5833333333333333,1,2.6007735387764925,58.46428571428572,9.226233399392423e-11,12,7
squeezenet,autoweighted,occlusion,1.6666666666666667,2,2.6007735387764925,58.46428571428572,9.226233399392423e-11,12,7
squeezenet,autoweighted,saliency,2.75,3,2.6007735387764925,58.46428571428572,9.226233399392423e-11,12,7
squeezenet,autoweighted,lrp,4.833333333333333,4,2.6007735387764925,58.46428571428572,9.226233399392423e-11,12,7
squeezenet,autoweighted,deep_lift,5.5,5,2.6007735387764925,58.46428571428572,9.226233399392423e-11,12,7
squeezenet,autoweighted,guided_backprop,5.5,6,2.6007735387764925,58.46428571428572,9.226233399392423e-11,12,7
squeezenet,autoweighted,integrated_gradients,6.166666666666667,7,2.6007735387764925,58.46428571428572,9.226233399392423e-11,12,7
squeezenet,mqdiscount,occlusion,1.5833333333333333,1,2.6007735387764925,58.14285714285711,1.0720057367060313e-10,12,7
squeezenet,mqdiscount,gradcam,1.6666666666666667,2,2.6007735387764925,58.14285714285711,1.0720057367060313e-10,12,7
squeezenet,mqdiscount,saliency,2.75,3,2.6007735387764925,58.14285714285711,1.0720057367060313e-10,12,7
