model,image_id,fae_method,metric,score,error
resnet18,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.08344271034002304,
resnet18,ISIC_0012258,integrated_gradients,pixel_flipping,395.03948974609375,
resnet18,ISIC_0012258,integrated_gradients,max_sensitivity,1.4079887866973877,
resnet18,ISIC_0012258,integrated_gradients,avg_sensitivity,1.4015832662582397,
resnet18,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,2.099329710006714,
resnet18,ISIC_0012258,integrated_gradients,pointing_game,0.0,
resnet18,ISIC_0012258,integrated_gradients,sparseness,0.5365943040102711,
resnet18,ISIC_0012258,integrated_gradients,complexity,11.415214538574219,
resnet18,ISIC_0012258,integrated_gradients,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,integrated_gradients,random_logit,0.5727649644739884,
resnet18,ISIC_0012258,integrated_gradients,completeness,0.0,
resnet18,ISIC_0012258,integrated_gradients,non_sensitivity,,nan
resnet18,ISIC_0012258,saliency,faithfulness_correlation,-0.2237376570701599,
resnet18,ISIC_0012258,saliency,pixel_flipping,570.5520629882812,
resnet18,ISIC_0012258,saliency,max_sensitivity,0.8954176902770996,
resnet18,ISIC_0012258,saliency,avg_sensitivity,0.8540963530540466,
resnet18,ISIC_0012258,saliency,relevance_mass_accuracy,0.10377661138772964,
resnet18,ISIC_0012258,saliency,pointing_game,0.0,
resnet18,ISIC_0012258,saliency,sparseness,0.5321941765389349,
resnet18,ISIC_0012258,saliency,complexity,11.422480583190918,
resnet18,ISIC_0012258,saliency,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,saliency,random_logit,0.5462658964079885,
resnet18,ISIC_0012258,saliency,completeness,,nan
resnet18,ISIC_0012258,saliency,non_sensitivity,,nan
resnet18,ISIC_0012258,gradcam,faithfulness_correlation,0.05952225252985954,
resnet18,ISIC_0012258,gradcam,pixel_flipping,444.72003173828125,
resnet18,ISIC_0012258,gradcam,max_sensitivity,2.2313108444213867,
resnet18,ISIC_0012258,gradcam,avg_sensitivity,1.8182368993759155,
resnet18,ISIC_0012258,gradcam,relevance_mass_accuracy,0.01481254119426012,
resnet18,ISIC_0012258,gradcam,pointing_game,0.0,
resnet18,ISIC_0012258,gradcam,sparseness,0.4722328953160489,
resnet18,ISIC_0012258,gradcam,complexity,11.529279708862305,
resnet18,ISIC_0012258,gradcam,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,gradcam,random_logit,0.521369761904899,
resnet18,ISIC_0012258,gradcam,completeness,,nan
resnet18,ISIC_0012258,gradcam,non_sensitivity,,nan
resnet18,ISIC_0012258,deep_lift,faithfulness_correlation,0.04366493970155716,
resnet18,ISIC_0012258,deep_lift,pixel_flipping,447.1322937011719,
resnet18,ISIC_0012258,deep_lift,max_sensitivity,1.3486371040344238,
resnet18,ISIC_0012258,deep_lift,avg_sensitivity,1.2820817947387695,
resnet18,ISIC_0012258,deep_lift,relevance_mass_accuracy,-0.03929087519645691,
resnet18,ISIC_0012258,deep_lift,pointing_game,0.0,
resnet18,ISIC_0012258,deep_lift,sparseness,0.5331243926086529,
resnet18,ISIC_0012258,deep_lift,complexity,11.421948432922363,
resnet18,ISIC_0012258,deep_lift,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,deep_lift,random_logit,0.5338471902236042,
resnet18,ISIC_0012258,deep_lift,completeness,0.0,
resnet18,ISIC_0012258,deep_lift,non_sensitivity,,nan
resnet18,ISIC_0012258,guided_backprop,faithfulness_correlation,0.15043339133262634,
resnet18,ISIC_0012258,guided_backprop,pixel_flipping,573.72705078125,
resnet18,ISIC_0012258,guided_backprop,max_sensitivity,0.9243717193603516,
resnet18,ISIC_0012258,guided_backprop,avg_sensitivity,0.9189537167549133,
resnet18,ISIC_0012258,guided_backprop,relevance_mass_accuracy,0.10087042301893234,
resnet18,ISIC_0012258,guided_backprop,pointing_game,0.0,
resnet18,ISIC_0012258,guided_backprop,sparseness,0.7056250408571247,
resnet18,ISIC_0012258,guided_backprop,complexity,10.88737678527832,
resnet18,ISIC_0012258,guided_backprop,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,guided_backprop,random_logit,0.9466248761702983,
resnet18,ISIC_0012258,guided_backprop,completeness,,nan
resnet18,ISIC_0012258,guided_backprop,non_sensitivity,,nan
resnet18,ISIC_0012258,lrp,faithfulness_correlation,-0.017989717423915863,
resnet18,ISIC_0012258,lrp,pixel_flipping,642.159423828125,
resnet18,ISIC_0012258,lrp,max_sensitivity,16.65239715576172,
resnet18,ISIC_0012258,lrp,avg_sensitivity,2.180850565433502,
resnet18,ISIC_0012258,lrp,relevance_mass_accuracy,0.5333750247955322,
resnet18,ISIC_0012258,lrp,pointing_game,0.0,
resnet18,ISIC_0012258,lrp,sparseness,0.9399206204962038,
resnet18,ISIC_0012258,lrp,complexity,8.942987442016602,
resnet18,ISIC_0012258,lrp,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,lrp,random_logit,0.986396624343133,
resnet18,ISIC_0012258,lrp,completeness,0.0,
resnet18,ISIC_0012258,lrp,non_sensitivity,,nan
resnet18,ISIC_0012258,occlusion,faithfulness_correlation,0.13504429161548615,
resnet18,ISIC_0012258,occlusion,pixel_flipping,386.2919921875,
resnet18,ISIC_0012258,occlusion,max_sensitivity,1.3597204685211182,
resnet18,ISIC_0012258,occlusion,avg_sensitivity,1.1971686959266663,
resnet18,ISIC_0012258,occlusion,relevance_mass_accuracy,0.24655748903751373,
resnet18,ISIC_0012258,occlusion,pointing_game,1.0,
resnet18,ISIC_0012258,occlusion,sparseness,0.41932365372204533,
resnet18,ISIC_0012258,occlusion,complexity,11.631799697875977,
resnet18,ISIC_0012258,occlusion,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,occlusion,random_logit,0.3674503045256089,
resnet18,ISIC_0012258,occlusion,completeness,,nan
resnet18,ISIC_0012258,occlusion,non_sensitivity,,nan
