model,image_id,fae_method,metric,score,error
resnet18,ISIC_0013636,ensemble,faithfulness_correlation,0.09571845084428787,
resnet18,ISIC_0013636,ensemble,pixel_flipping,88.52265167236328,
resnet18,ISIC_0013636,ensemble,max_sensitivity,,nan
resnet18,ISIC_0013636,ensemble,avg_sensitivity,,nan
resnet18,ISIC_0013636,ensemble,relevance_mass_accuracy,0.5396276116371155,
resnet18,ISIC_0013636,ensemble,pointing_game,0.0,
resnet18,ISIC_0013636,ensemble,sparseness,0.46641097509936436,
resnet18,ISIC_0013636,ensemble,complexity,11.540400505065918,
resnet18,ISIC_0013636,ensemble,model_parameter_randomisation,,nan
resnet18,ISIC_0013636,ensemble,random_logit,,nan
resnet18,ISIC_0013636,ensemble,completeness,,nan
resnet18,ISIC_0013636,ensemble,non_sensitivity,,nan
squeezenet,ISIC_0013636,ensemble,faithfulness_correlation,0.19640231132507324,
squeezenet,ISIC_0013636,ensemble,pixel_flipping,189.85296630859375,
squeezenet,ISIC_0013636,ensemble,max_sensitivity,,nan
squeezenet,ISIC_0013636,ensemble,avg_sensitivity,,nan
squeezenet,ISIC_0013636,ensemble,relevance_mass_accuracy,0.8334143757820129,
squeezenet,ISIC_0013636,ensemble,pointing_game,1.0,
squeezenet,ISIC_0013636,ensemble,sparseness,0.6087491293281844,
squeezenet,ISIC_0013636,ensemble,complexity,11.229079246520996,
squeezenet,ISIC_0013636,ensemble,model_parameter_randomisation,,nan
squeezenet,ISIC_0013636,ensemble,random_logit,,nan
squeezenet,ISIC_0013636,ensemble,completeness,,nan
squeezenet,ISIC_0013636,ensemble,non_sensitivity,,nan
resnet18,ISIC_0013867,ensemble,faithfulness_correlation,-0.10958308726549149,
resnet18,ISIC_0013867,ensemble,pixel_flipping,523.6000366210938,
resnet18,ISIC_0013867,ensemble,max_sensitivity,,nan
resnet18,ISIC_0013867,ensemble,avg_sensitivity,,nan
resnet18,ISIC_0013867,ensemble,relevance_mass_accuracy,0.7461232542991638,
resnet18,ISIC_0013867,ensemble,pointing_game,0.0,
resnet18,ISIC_0013867,ensemble,sparseness,0.506840601515846,
resnet18,ISIC_0013867,ensemble,complexity,11.470046997070312,
resnet18,ISIC_0013867,ensemble,model_parameter_randomisation,,nan
resnet18,ISIC_0013867,ensemble,random_logit,,nan
resnet18,ISIC_0013867,ensemble,completeness,,nan
resnet18,ISIC_0013867,ensemble,non_sensitivity,,nan
squeezenet,ISIC_0013867,ensemble,faithfulness_correlation,-0.1338566690683365,
squeezenet,ISIC_0013867,ensemble,pixel_flipping,190.08998107910156,
squeezenet,ISIC_0013867,ensemble,max_sensitivity,,nan
squeezenet,ISIC_0013867,ensemble,avg_sensitivity,,nan
squeezenet,ISIC_0013867,ensemble,relevance_mass_accuracy,0.9132978320121765,
squeezenet,ISIC_0013867,ensemble,pointing_game,1.0,
squeezenet,ISIC_0013867,ensemble,sparseness,0.6296579260970614,
squeezenet,ISIC_0013867,ensemble,complexity,11.159232139587402,
squeezenet,ISIC_0013867,ensemble,model_parameter_randomisation,,nan
squeezenet,ISIC_0013867,ensemble,random_logit,,nan
squeezenet,ISIC_0013867,ensemble,completeness,,nan
squeezenet,ISIC_0013867,ensemble,non_sensitivity,,nan
resnet18,ISIC_0013925,ensemble,faithfulness_correlation,-0.11331816762685776,
resnet18,ISIC_0013925,ensemble,pixel_flipping,34.130043029785156,
resnet18,ISIC_0013925,ensemble,max_sensitivity,,nan
resnet18,ISIC_0013925,ensemble,avg_sensitivity,,nan
resnet18,ISIC_0013925,ensemble,relevance_mass_accuracy,0.716096043586731,
resnet18,ISIC_0013925,ensemble,pointing_game,0.0,
