model,fae_method,metric,nr_score,ar_score,combined_reliability,n_valid_inputs,runtime_seconds,status
resnet18,deep_lift,avg_sensitivity,,1.0,1.0,600,45.543,completed
resnet18,deep_lift,completeness,,,,600,8.504,completed
resnet18,deep_lift,complexity,0.999966124952302,1.0,0.999983062476151,600,11.986,completed
resnet18,deep_lift,faithfulness_correlation,0.1009332159573884,0.0,0.0504666079786942,600,123.876,completed
resnet18,deep_lift,max_sensitivity,0.9978104592322314,1.0,0.9989052296161157,600,46.644,completed
resnet18,deep_lift,model_parameter_randomisation,,,,0,0.0,skipped_nan
resnet18,deep_lift,non_sensitivity,,,,0,0.0,skipped_nan
resnet18,deep_lift,pixel_flipping,0.9934352939754166,0.7999999999999999,0.8967176469877083,600,165.781,completed
resnet18,deep_lift,pointing_game,0.942074170902123,0.7999999999999999,0.8710370854510614,600,12.338,completed
resnet18,deep_lift,random_logit,0.980751373664116,0.0181818181818181,0.49946659592296705,600,46.263,completed
resnet18,deep_lift,relevance_mass_accuracy,0.5515004193036065,0.1999999999999999,0.3757502096518032,600,12.453,completed
resnet18,deep_lift,sparseness,0.9997948493108292,1.0,0.9998974246554144,600,12.617,completed
resnet18,gradcam,avg_sensitivity,,1.0,1.0,583,24.782,completed
resnet18,gradcam,completeness,,,,0,0.0,skipped_nan
resnet18,gradcam,complexity,0.9998343302976714,1.0,0.9999171651488356,600,8.364,completed
resnet18,gradcam,faithfulness_correlation,0.915072739664936,0.7999999999999999,0.857536369832468,600,121.305,completed
resnet18,gradcam,max_sensitivity,0.9835412217363158,1.0,0.9917706108681579,582,25.467,completed
resnet18,gradcam,model_parameter_randomisation,,,,0,0.0,skipped_nan
resnet18,gradcam,non_sensitivity,,,,0,0.0,skipped_nan
resnet18,gradcam,pixel_flipping,0.9990583077802904,0.6000000000000001,0.7995291538901452,600,160.358,completed
resnet18,gradcam,pointing_game,0.990219625740508,0.0,0.4951098128702541,600,8.585,completed
resnet18,gradcam,random_logit,0.9981692268530926,0.1515151515151515,0.574842189184122,565,24.979,completed
resnet18,gradcam,relevance_mass_accuracy,0.6547650762982923,0.7999999999999999,0.7273825381491461,600,8.729,completed
resnet18,gradcam,sparseness,0.997862332049542,1.0,0.9989311660247712,600,8.809,completed
resnet18,guided_backprop,avg_sensitivity,,1.0,1.0,600,42.861,completed
resnet18,guided_backprop,completeness,,,,0,0.0,skipped_nan
resnet18,guided_backprop,complexity,0.999837984798126,1.0,0.999918992399063,600,11.003,completed
resnet18,guided_backprop,faithfulness_correlation,0.335664106683188,0.6000000000000001,0.467832053341594,600,122.553,completed
resnet18,guided_backprop,max_sensitivity,0.9955930175859494,1.0,0.9977965087929748,600,43.197,completed
resnet18,guided_backprop,model_parameter_randomisation,,,,0,0.0,skipped_nan
resnet18,guided_backprop,non_sensitivity,,,,0,0.0,skipped_nan
resnet18,guided_backprop,pixel_flipping,0.996423733651154,0.3999999999999999,0.6982118668255769,600,163.32,completed
resnet18,guided_backprop,pointing_game,0.9722111926663354,0.7745966692414834,0.8734039309539094,600,11.306,completed
resnet18,guided_backprop,random_logit,0.9974551283846064,0.5878787878787878,0.7926669581316971,600,42.088,completed
resnet18,guided_backprop,relevance_mass_accuracy,0.9300382194516024,0.3999999999999999,0.6650191097258011,600,11.137,completed
resnet18,guided_backprop,sparseness,0.99947591218924,1.0,0.99973795609462,600,11.171,completed
resnet18,integrated_gradients,avg_sensitivity,,1.0,1.0,600,52.724,completed
resnet18,integrated_gradients,completeness,,,,600,10.428,completed
resnet18,integrated_gradients,complexity,0.9999453651714276,1.0,0.9999726825857138,600,14.044,completed
resnet18,integrated_gradients,faithfulness_correlation,0.4107336378690651,0.0,0.2053668189345325,600,124.64,completed
resnet18,integrated_gradients,max_sensitivity,0.9967701436264,0.9878787878787878,0.9923244657525939,600,52.849,completed
resnet18,integrated_gradients,model_parameter_randomisation,,,,0,0.0,skipped_nan
resnet18,integrated_gradients,non_sensitivity,,,,0,0.0,skipped_nan
resnet18,integrated_gradients,pixel_flipping,0.9943975217958236,0.7999999999999999,0.8971987608979117,600,167.768,completed
resnet18,integrated_gradients,pointing_game,0.941082180068896,0.948683298050514,0.9448827390597048,600,14.033,completed
resnet18,integrated_gradients,random_logit,0.994601429303997,0.0424242424242424,0.5185128358641197,600,51.951,completed
resnet18,integrated_gradients,relevance_mass_accuracy,0.4406860603257379,0.7999999999999999,0.620343030162869,600,14.101,completed
resnet18,integrated_gradients,sparseness,0.9996942185889622,1.0,0.9998471092944812,600,14.31,completed
resnet18,lrp,avg_sensitivity,,0.0999999999999999,0.0999999999999999,600,31.974,completed
resnet18,lrp,completeness,,,,600,6.745,completed
resnet18,lrp,complexity,0.9939304061391104,1.0,0.9969652030695552,600,9.517,completed
resnet18,lrp,faithfulness_correlation,0.5465198319241267,0.7999999999999999,0.6732599159620634,600,121.447,completed
resnet18,lrp,max_sensitivity,0.5570775832657006,0.3212121212121211,0.43914485223891087,600,32.252,completed
resnet18,lrp,model_parameter_randomisation,,,,0,0.0,skipped_nan
resnet18,lrp,non_sensitivity,,,,0,0.0,skipped_nan
resnet18,lrp,pixel_flipping,0.986655588721002,0.1999999999999999,0.593327794360501,600,161.866,completed
resnet18,lrp,pointing_game,0.837590280734801,0.948683298050514,0.8931367893926574,600,9.156,completed
resnet18,lrp,random_logit,0.9935630256794734,0.5151515151515151,0.7543572704154943,600,31.036,completed
