model,image_id,fae_method,effectiveness_index,operator
resnet18,ISIC_0012369,gradcam,0.5316173494787434,weighted_mean
resnet18,ISIC_0012989,integrated_gradients,0.5011391786443762,weighted_mean
resnet18,ISIC_0012758,integrated_gradients,0.45848581369186614,weighted_mean
resnet18,ISIC_0012369,occlusion,0.4052034036377838,weighted_mean
resnet18,ISIC_0012989,occlusion,0.40484427407661117,weighted_mean
squeezenet,ISIC_0013242,occlusion,0.3304692344977535,weighted_mean
resnet18,ISIC_0013277,saliency,0.31382754518969225,weighted_mean
resnet18,ISIC_0013277,gradcam,0.3121672519477245,weighted_mean
resnet18,ISIC_0012369,saliency,0.29758974497769775,weighted_mean
resnet18,ISIC_0012758,gradcam,0.28743107561316283,weighted_mean
squeezenet,ISIC_0013242,gradcam,0.28246767375686765,weighted_mean
resnet18,ISIC_0012258,occlusion,0.275286322042946,weighted_mean
resnet18,ISIC_0013073,saliency,0.27077966681072413,weighted_mean
resnet18,ISIC_0013277,deep_lift,0.27039268331476457,weighted_mean
squeezenet,ISIC_0012758,gradcam,0.25810387973724774,weighted_mean
squeezenet,ISIC_0013073,gradcam,0.24127023463908376,weighted_mean
squeezenet,ISIC_0013277,occlusion,0.2304534771433961,weighted_mean
resnet18,ISIC_0013242,lrp,0.22856138829511657,weighted_mean
resnet18,ISIC_0012758,guided_backprop,0.2274294387333557,weighted_mean
resnet18,ISIC_0013073,occlusion,0.22046489013694803,weighted_mean
resnet18,ISIC_0013321,gradcam,0.2159173561212739,weighted_mean
resnet18,ISIC_0012989,saliency,0.21019460571801943,weighted_mean
resnet18,ISIC_0012425,integrated_gradients,0.20861980054848672,weighted_mean
squeezenet,ISIC_0013073,occlusion,0.20386637895344645,weighted_mean
resnet18,ISIC_0012369,integrated_gradients,0.20033092104469685,weighted_mean
squeezenet,ISIC_0012758,occlusion,0.19808574883091593,weighted_mean
resnet18,ISIC_0013321,saliency,0.1938658564385597,weighted_mean
squeezenet,ISIC_0012989,gradcam,0.1924447981826388,weighted_mean
resnet18,ISIC_0013073,guided_backprop,0.1910412290025466,weighted_mean
squeezenet,ISIC_0013277,gradcam,0.18054538631524913,weighted_mean
resnet18,ISIC_0013073,gradcam,0.18037308891308426,weighted_mean
squeezenet,ISIC_0012395,occlusion,0.17871917708332324,weighted_mean
resnet18,ISIC_0012758,saliency,0.17524197578623124,weighted_mean
resnet18,ISIC_0012425,lrp,0.1720351266012186,weighted_mean
resnet18,ISIC_0012258,guided_backprop,0.16779540590189287,weighted_mean
resnet18,ISIC_0012395,gradcam,0.15945881909472598,weighted_mean
resnet18,ISIC_0012356,saliency,0.1492715301990023,weighted_mean
squeezenet,ISIC_0012395,gradcam,0.14866954571502528,weighted_mean
squeezenet,ISIC_0013072,occlusion,0.1441707733056192,weighted_mean
resnet18,ISIC_0013242,deep_lift,0.1441271377589379,weighted_mean
resnet18,ISIC_0012395,deep_lift,0.14366303430868246,weighted_mean
resnet18,ISIC_0012369,guided_backprop,0.13790097650815084,weighted_mean
resnet18,ISIC_0012395,occlusion,0.13458390128332173,weighted_mean
resnet18,ISIC_0013277,occlusion,0.12905441189991146,weighted_mean
