model,fae_method,image_id,metric,seconds
resnet18,saliency,ISIC_0012258,faithfulness_correlation,0.892
resnet18,saliency,ISIC_0012258,pixel_flipping,3.605
resnet18,saliency,ISIC_0012258,max_sensitivity,0.572
resnet18,saliency,ISIC_0012258,avg_sensitivity,0.485
resnet18,saliency,ISIC_0012258,relevance_mass_accuracy,0.011
resnet18,saliency,ISIC_0012258,pointing_game,0.011
resnet18,saliency,ISIC_0012258,sparseness,0.041
resnet18,saliency,ISIC_0012258,complexity,0.036
resnet18,saliency,ISIC_0012258,model_parameter_randomisation,3.683
resnet18,saliency,ISIC_0012258,random_logit,0.094
resnet18,saliency,ISIC_0012258,completeness,0.0
resnet18,saliency,ISIC_0012258,non_sensitivity,0.0
resnet18,gradcam,ISIC_0012258,faithfulness_correlation,0.781
resnet18,gradcam,ISIC_0012258,pixel_flipping,2.829
resnet18,gradcam,ISIC_0012258,max_sensitivity,0.424
resnet18,gradcam,ISIC_0012258,avg_sensitivity,0.441
resnet18,gradcam,ISIC_0012258,relevance_mass_accuracy,0.02
resnet18,gradcam,ISIC_0012258,pointing_game,0.013
resnet18,gradcam,ISIC_0012258,sparseness,0.032
resnet18,gradcam,ISIC_0012258,complexity,0.031
resnet18,gradcam,ISIC_0012258,model_parameter_randomisation,2.233
resnet18,gradcam,ISIC_0012258,random_logit,0.106
resnet18,gradcam,ISIC_0012258,completeness,0.0
resnet18,gradcam,ISIC_0012258,non_sensitivity,0.0
resnet18,occlusion,ISIC_0012258,faithfulness_correlation,0.672
resnet18,occlusion,ISIC_0012258,pixel_flipping,2.804
resnet18,occlusion,ISIC_0012258,max_sensitivity,24.426
resnet18,occlusion,ISIC_0012258,avg_sensitivity,24.295
resnet18,occlusion,ISIC_0012258,relevance_mass_accuracy,0.014
resnet18,occlusion,ISIC_0012258,pointing_game,0.014
resnet18,occlusion,ISIC_0012258,sparseness,0.048
resnet18,occlusion,ISIC_0012258,complexity,0.044
resnet18,occlusion,ISIC_0012258,model_parameter_randomisation,101.985
resnet18,occlusion,ISIC_0012258,random_logit,2.244
resnet18,occlusion,ISIC_0012258,completeness,0.0
resnet18,occlusion,ISIC_0012258,non_sensitivity,0.0
