,avg_sensitivity,completeness,complexity,faithfulness_correlation,max_sensitivity,model_parameter_randomisation,pixel_flipping,pointing_game,random_logit,relevance_mass_accuracy,sparseness
avg_sensitivity,1.0,,-0.3140629745874253,-0.19400627720967906,0.9291282778171509,0.036949278045168454,0.060240963855421686,-0.25106800679567487,0.10393844284701832,-0.09510985116938342,0.31438695960311835
completeness,,,,,,,,,,,
complexity,-0.3140629745874253,,1.0,0.2857345347777665,-0.24720056697377746,-0.8603776379118845,-0.1513010023286423,0.15604226717181385,-0.8112787283588134,0.043373493975903614,-0.997165131112686
faithfulness_correlation,-0.19400627720967906,,0.2857345347777665,1.0,-0.2173331983395768,-0.21276564235468345,-0.011379973676217474,0.03901056679295346,-0.2571428571428571,-0.0007897134757517465,-0.27526576895818566
max_sensitivity,0.9291282778171509,,-0.24720056697377746,-0.2173331983395768,1.0,-0.054601999259533504,0.015875265768958185,-0.12103278415249663,0.07257264351523741,-0.04651209881542979,0.25048091525766936
model_parameter_randomisation,0.036949278045168454,,-0.8603776379118845,-0.21276564235468345,-0.054601999259533504,1.0,0.11647537948907812,-0.12885806209176048,0.8292188078489449,0.05605331358756016,0.8659163272861903
pixel_flipping,0.060240963855421686,,-0.1513010023286423,-0.011379973676217474,0.015875265768958185,0.11647537948907812,1.0,-0.0730197788688616,0.04491242280044548,0.006013971853801762,0.16349093854409233
pointing_game,-0.25106800679567487,,0.15604226717181385,0.03901056679295346,-0.12103278415249663,-0.12885806209176048,-0.0730197788688616,1.0,-0.05401463094408941,0.18004876981363135,-0.14503928679431416
random_logit,0.10393844284701832,,-0.8112787283588134,-0.2571428571428571,0.07257264351523741,0.8292188078489449,0.04491242280044548,-0.05401463094408941,1.0,0.008140123519287232,0.8043332995848942
relevance_mass_accuracy,-0.09510985116938342,,0.043373493975903614,-0.0007897134757517465,-0.04651209881542979,0.05605331358756016,0.006013971853801762,0.18004876981363135,0.008140123519287232,1.0,-0.03509162701225069
sparseness,0.31438695960311835,,-0.997165131112686,-0.27526576895818566,0.25048091525766936,0.8659163272861903,0.16349093854409233,-0.14503928679431416,0.8043332995848942,-0.03509162701225069,1.0
