,avg_sensitivity,completeness,complexity,faithfulness_correlation,max_sensitivity,pixel_flipping,pointing_game,random_logit,relevance_mass_accuracy,sparseness
avg_sensitivity,1.0,,-0.2741318214032601,-0.5487091222030981,0.9687759441125848,0.007066923154804091,-0.09452168387577052,0.31872025918801256,0.05783132530120482,0.24564138908575478
completeness,,,,,,,,,,
complexity,-0.2741318214032601,,1.0,0.30962842968512705,-0.24671458945023791,-0.19358104687658195,-0.1486857948607626,-0.7990077958894402,0.04343424116634605,-0.9907664270527488
faithfulness_correlation,-0.5487091222030981,,0.30962842968512705,1.0,-0.4774324187506328,0.003057608585602916,0.13063109119909858,-0.40095170598359825,0.039951402247646046,-0.29355067328136075
max_sensitivity,0.9687759441125848,,-0.24671458945023791,-0.4774324187506328,1.0,-0.03098106712564544,-0.06903269047106836,0.2589450237926496,0.05965374101447808,0.22379264958995645
pixel_flipping,0.007066923154804091,,-0.19358104687658195,0.003057608585602916,-0.03098106712564544,1.0,-0.06690860768734318,0.2716614356586008,0.08081401235192873,0.20174141945935
pointing_game,-0.09452168387577052,,-0.1486857948607626,0.13063109119909858,-0.06903269047106836,-0.06690860768734318,1.0,0.24108339595280795,0.31224016920760145,0.1518719190363504
random_logit,0.31872025918801256,,-0.7990077958894402,-0.40095170598359825,0.2589450237926496,0.2716614356586008,0.24108339595280795,1.0,0.04685633289460363,0.7793257061860889
relevance_mass_accuracy,0.05783132530120482,,0.04343424116634605,0.039951402247646046,0.05965374101447808,0.08081401235192873,0.31224016920760145,0.04685633289460363,1.0,-0.027275488508656475
sparseness,0.24564138908575478,,-0.9907664270527488,-0.29355067328136075,0.22379264958995645,0.20174141945935,0.1518719190363504,0.7793257061860889,-0.027275488508656475,1.0
