method,mean_rank,rank_position,critical_difference,friedman_statistic,friedman_p_value,n_blocks,n_methods,model,scheme
gradcam,2.8233333333333333,1,0.36780492111987845,593.6128571428562,5.564791743000314e-125,600,7,resnet18,uniform
occlusion,3.151666666666667,2,0.36780492111987845,593.6128571428562,5.564791743000314e-125,600,7,resnet18,uniform
saliency,3.415,3,0.36780492111987845,593.6128571428562,5.564791743000314e-125,600,7,resnet18,uniform
integrated_gradients,4.11,4,0.36780492111987845,593.6128571428562,5.564791743000314e-125,600,7,resnet18,uniform
guided_backprop,4.681666666666667,5,0.36780492111987845,593.6128571428562,5.564791743000314e-125,600,7,resnet18,uniform
deep_lift,4.766666666666667,6,0.36780492111987845,593.6128571428562,5.564791743000314e-125,600,7,resnet18,uniform
lrp,5.051666666666667,7,0.36780492111987845,593.6128571428562,5.564791743000314e-125,600,7,resnet18,uniform
saliency,3.1816666666666666,1,0.36780492111987845,437.41071428571377,2.512641477931471e-91,600,7,resnet18,autoweighted
occlusion,3.4683333333333333,2,0.36780492111987845,437.41071428571377,2.512641477931471e-91,600,7,resnet18,autoweighted
lrp,3.5816666666666666,3,0.36780492111987845,437.41071428571377,2.512641477931471e-91,600,7,resnet18,autoweighted
integrated_gradients,3.6533333333333333,4,0.36780492111987845,437.41071428571377,2.512641477931471e-91,600,7,resnet18,autoweighted
gradcam,4.2283333333333335,5,0.36780492111987845,437.41071428571377,2.512641477931471e-91,600,7,resnet18,autoweighted
deep_lift,4.541666666666667,6,0.36780492111987845,437.41071428571377,2.512641477931471e-91,600,7,resnet18,autoweighted
guided_backprop,5.345,7,0.36780492111987845,437.41071428571377,2.512641477931471e-91,600,7,resnet18,autoweighted
gradcam,1.825,1,0.36780492111987845,1786.4892857142859,0.0,600,7,squeezenet,uniform
occlusion,2.4066666666666667,2,0.36780492111987845,1786.4892857142859,0.0,600,7,squeezenet,uniform
saliency,3.1633333333333336,3,0.36780492111987845,1786.4892857142859,0.0,600,7,squeezenet,uniform
guided_backprop,4.523333333333333,4,0.36780492111987845,1786.4892857142859,0.0,600,7,squeezenet,uniform
integrated_gradients,5.156666666666666,5,0.36780492111987845,1786.4892857142859,0.0,600,7,squeezenet,uniform
lrp,5.328333333333333,6,0.36780492111987845,1786.4892857142859,0.0,600,7,squeezenet,uniform
deep_lift,5.596666666666667,7,0.36780492111987845,1786.4892857142859,0.0,600,7,squeezenet,uniform
gradcam,1.9216666666666666,1,0.36780492111987845,1551.8342857142852,0.0,600,7,squeezenet,autoweighted
saliency,2.8666666666666667,2,0.36780492111987845,1551.8342857142852,0.0,600,7,squeezenet,autoweighted
occlusion,3.005,3,0.36780492111987845,1551.8342857142852,0.0,600,7,squeezenet,autoweighted
guided_backprop,4.3,4,0.36780492111987845,1551.8342857142852,0.0,600,7,squeezenet,autoweighted
lrp,5.076666666666667,5,0.36780492111987845,1551.8342857142852,0.0,600,7,squeezenet,autoweighted
integrated_gradients,5.081666666666667,6,0.36780492111987845,1551.8342857142852,0.0,600,7,squeezenet,autoweighted
deep_lift,5.748333333333333,7,0.36780492111987845,1551.8342857142852,0.0,600,7,squeezenet,autoweighted
