model,metric,n,n_nan,n_error,coverage
resnet18,avg_sensitivity,4200,17,0,0.9959523809523809
resnet18,completeness,4200,2400,0,0.4285714285714286
resnet18,complexity,4200,0,0,1.0
resnet18,faithfulness_correlation,4200,0,0,1.0
resnet18,max_sensitivity,4200,18,0,0.9957142857142857
resnet18,model_parameter_randomisation,4200,4200,0,0.0
resnet18,non_sensitivity,4200,4200,0,0.0
resnet18,pixel_flipping,4200,0,0,1.0
resnet18,pointing_game,4200,0,0,1.0
resnet18,random_logit,4200,35,0,0.9916666666666667
resnet18,relevance_mass_accuracy,4200,0,0,1.0
resnet18,sparseness,4200,0,0,1.0
squeezenet,avg_sensitivity,4200,0,0,1.0
squeezenet,completeness,4200,2400,0,0.4285714285714286
squeezenet,complexity,4200,0,0,1.0
squeezenet,faithfulness_correlation,4200,0,0,1.0
squeezenet,max_sensitivity,4200,0,0,1.0
squeezenet,model_parameter_randomisation,4200,4200,0,0.0
squeezenet,non_sensitivity,4200,4200,0,0.0
squeezenet,pixel_flipping,4200,0,0,1.0
squeezenet,pointing_game,4200,0,0,1.0
squeezenet,random_logit,4200,0,0,1.0
squeezenet,relevance_mass_accuracy,4200,0,0,1.0
squeezenet,sparseness,4200,0,0,1.0
