model,image_id,fae_method,metric,score,error
resnet18,ISIC_0013636,ensemble,faithfulness_correlation,0.09572222083806992,
resnet18,ISIC_0013636,ensemble,pixel_flipping,88.49202728271484,
resnet18,ISIC_0013636,ensemble,max_sensitivity,1.100052833557129,
resnet18,ISIC_0013636,ensemble,avg_sensitivity,1.0843862533569335,
resnet18,ISIC_0013636,ensemble,relevance_mass_accuracy,0.5396275520324707,
resnet18,ISIC_0013636,ensemble,pointing_game,0.0,
resnet18,ISIC_0013636,ensemble,sparseness,0.46641109384920887,
resnet18,ISIC_0013636,ensemble,complexity,11.540403366088867,
resnet18,ISIC_0013636,ensemble,model_parameter_randomisation,,nan
resnet18,ISIC_0013636,ensemble,random_logit,0.6037283616684549,
resnet18,ISIC_0013636,ensemble,completeness,,nan
resnet18,ISIC_0013636,ensemble,non_sensitivity,,nan
squeezenet,ISIC_0013636,ensemble,faithfulness_correlation,0.19292528927326202,
squeezenet,ISIC_0013636,ensemble,pixel_flipping,185.52255249023438,
squeezenet,ISIC_0013636,ensemble,max_sensitivity,1.1038790941238403,
squeezenet,ISIC_0013636,ensemble,avg_sensitivity,1.090539824962616,
squeezenet,ISIC_0013636,ensemble,relevance_mass_accuracy,0.8333886861801147,
squeezenet,ISIC_0013636,ensemble,pointing_game,1.0,
squeezenet,ISIC_0013636,ensemble,sparseness,0.6082911647965791,
squeezenet,ISIC_0013636,ensemble,complexity,11.230436325073242,
squeezenet,ISIC_0013636,ensemble,model_parameter_randomisation,,nan
squeezenet,ISIC_0013636,ensemble,random_logit,0.8081746722000641,
squeezenet,ISIC_0013636,ensemble,completeness,,nan
squeezenet,ISIC_0013636,ensemble,non_sensitivity,,nan
resnet18,ISIC_0013867,ensemble,faithfulness_correlation,-0.10957830399274826,
resnet18,ISIC_0013867,ensemble,pixel_flipping,523.686767578125,
resnet18,ISIC_0013867,ensemble,max_sensitivity,1.1239433288574219,
resnet18,ISIC_0013867,ensemble,avg_sensitivity,1.1177917838096618,
resnet18,ISIC_0013867,ensemble,relevance_mass_accuracy,0.7461233139038086,
resnet18,ISIC_0013867,ensemble,pointing_game,0.0,
resnet18,ISIC_0013867,ensemble,sparseness,0.5068404100131593,
resnet18,ISIC_0013867,ensemble,complexity,11.470047950744629,
resnet18,ISIC_0013867,ensemble,model_parameter_randomisation,,nan
resnet18,ISIC_0013867,ensemble,random_logit,0.6350437827690975,
resnet18,ISIC_0013867,ensemble,completeness,,nan
resnet18,ISIC_0013867,ensemble,non_sensitivity,,nan
squeezenet,ISIC_0013867,ensemble,faithfulness_correlation,-0.13319413363933563,
squeezenet,ISIC_0013867,ensemble,pixel_flipping,190.99517822265625,
squeezenet,ISIC_0013867,ensemble,max_sensitivity,1.1889008283615112,
squeezenet,ISIC_0013867,ensemble,avg_sensitivity,1.1668089747428894,
squeezenet,ISIC_0013867,ensemble,relevance_mass_accuracy,0.9130889177322388,
squeezenet,ISIC_0013867,ensemble,pointing_game,1.0,
squeezenet,ISIC_0013867,ensemble,sparseness,0.6298361228588891,
squeezenet,ISIC_0013867,ensemble,complexity,11.158546447753906,
squeezenet,ISIC_0013867,ensemble,model_parameter_randomisation,,nan
squeezenet,ISIC_0013867,ensemble,random_logit,0.7617233136267427,
squeezenet,ISIC_0013867,ensemble,completeness,,nan
squeezenet,ISIC_0013867,ensemble,non_sensitivity,,nan
resnet18,ISIC_0013925,ensemble,faithfulness_correlation,-0.11330689489841461,
resnet18,ISIC_0013925,ensemble,pixel_flipping,34.157630920410156,
resnet18,ISIC_0013925,ensemble,max_sensitivity,1.024292230606079,
resnet18,ISIC_0013925,ensemble,avg_sensitivity,0.9862808465957642,
resnet18,ISIC_0013925,ensemble,relevance_mass_accuracy,0.7160958647727966,
resnet18,ISIC_0013925,ensemble,pointing_game,0.0,
resnet18,ISIC_0013925,ensemble,sparseness,0.4503259531862086,
resnet18,ISIC_0013925,ensemble,complexity,11.563467979431152,
resnet18,ISIC_0013925,ensemble,model_parameter_randomisation,,nan
resnet18,ISIC_0013925,ensemble,random_logit,0.7187559715038625,
resnet18,ISIC_0013925,ensemble,completeness,,nan
resnet18,ISIC_0013925,ensemble,non_sensitivity,,nan
squeezenet,ISIC_0013925,ensemble,faithfulness_correlation,-0.26862451434135437,
squeezenet,ISIC_0013925,ensemble,pixel_flipping,50.511905670166016,
squeezenet,ISIC_0013925,ensemble,max_sensitivity,1.0595791339874268,
squeezenet,ISIC_0013925,ensemble,avg_sensitivity,1.032510018348694,
squeezenet,ISIC_0013925,ensemble,relevance_mass_accuracy,0.5203914642333984,
squeezenet,ISIC_0013925,ensemble,pointing_game,0.0,
squeezenet,ISIC_0013925,ensemble,sparseness,0.5649202263989713,
squeezenet,ISIC_0013925,ensemble,complexity,11.327981948852539,
squeezenet,ISIC_0013925,ensemble,model_parameter_randomisation,,nan
squeezenet,ISIC_0013925,ensemble,random_logit,0.5684425585273624,
squeezenet,ISIC_0013925,ensemble,completeness,,nan
squeezenet,ISIC_0013925,ensemble,non_sensitivity,,nan
resnet18,ISIC_0014077,ensemble,faithfulness_correlation,0.08981789648532867,
resnet18,ISIC_0014077,ensemble,pixel_flipping,526.5919189453125,
resnet18,ISIC_0014077,ensemble,max_sensitivity,1.0157489776611328,
resnet18,ISIC_0014077,ensemble,avg_sensitivity,1.00735085606575,
resnet18,ISIC_0014077,ensemble,relevance_mass_accuracy,0.44520658254623413,
resnet18,ISIC_0014077,ensemble,pointing_game,0.0,
resnet18,ISIC_0014077,ensemble,sparseness,0.45536781374536267,
resnet18,ISIC_0014077,ensemble,complexity,11.56029224395752,
resnet18,ISIC_0014077,ensemble,model_parameter_randomisation,,nan
resnet18,ISIC_0014077,ensemble,random_logit,0.5410777810883615,
resnet18,ISIC_0014077,ensemble,completeness,,nan
resnet18,ISIC_0014077,ensemble,non_sensitivity,,nan
squeezenet,ISIC_0014077,ensemble,faithfulness_correlation,0.05277734622359276,
squeezenet,ISIC_0014077,ensemble,pixel_flipping,210.1743927001953,
squeezenet,ISIC_0014077,ensemble,max_sensitivity,1.0708116292953491,
squeezenet,ISIC_0014077,ensemble,avg_sensitivity,1.056229829788208,
squeezenet,ISIC_0014077,ensemble,relevance_mass_accuracy,0.8560516834259033,
