model,image_id,fae_method,metric,score
resnet18,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.08571908622980118
resnet18,ISIC_0012258,integrated_gradients,pixel_flipping,400.01312255859375
resnet18,ISIC_0012258,integrated_gradients,max_sensitivity,1.412213921546936
resnet18,ISIC_0012258,integrated_gradients,avg_sensitivity,1.4032729744911194
resnet18,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,2.034122943878174
resnet18,ISIC_0012258,integrated_gradients,pointing_game,0.0
resnet18,ISIC_0012258,integrated_gradients,sparseness,0.536448780524973
resnet18,ISIC_0012258,integrated_gradients,complexity,11.415559768676758
resnet18,ISIC_0012258,integrated_gradients,model_parameter_randomisation,0.2622272945795178
resnet18,ISIC_0012258,integrated_gradients,random_logit,0.5724213827948235
resnet18,ISIC_0012258,integrated_gradients,completeness,0.0
resnet18,ISIC_0012258,integrated_gradients,non_sensitivity,
resnet18,ISIC_0012258,saliency,faithfulness_correlation,-0.22458581626415253
resnet18,ISIC_0012258,saliency,pixel_flipping,574.1607666015625
resnet18,ISIC_0012258,saliency,max_sensitivity,0.8935341238975525
resnet18,ISIC_0012258,saliency,avg_sensitivity,0.8548704802989959
resnet18,ISIC_0012258,saliency,relevance_mass_accuracy,0.10524463653564453
resnet18,ISIC_0012258,saliency,pointing_game,0.0
resnet18,ISIC_0012258,saliency,sparseness,0.5330598917618566
resnet18,ISIC_0012258,saliency,complexity,11.420063972473145
resnet18,ISIC_0012258,saliency,model_parameter_randomisation,0.24434810879429766
resnet18,ISIC_0012258,saliency,random_logit,0.5421502534830122
resnet18,ISIC_0012258,saliency,completeness,
resnet18,ISIC_0012258,saliency,non_sensitivity,
resnet18,ISIC_0012258,gradcam,faithfulness_correlation,0.059906743466854095
resnet18,ISIC_0012258,gradcam,pixel_flipping,445.49249267578125
resnet18,ISIC_0012258,gradcam,max_sensitivity,2.2349462509155273
resnet18,ISIC_0012258,gradcam,avg_sensitivity,1.8202397346496582
resnet18,ISIC_0012258,gradcam,relevance_mass_accuracy,0.014693702571094036
resnet18,ISIC_0012258,gradcam,pointing_game,0.0
resnet18,ISIC_0012258,gradcam,sparseness,0.4724102354369794
resnet18,ISIC_0012258,gradcam,complexity,11.529135704040527
resnet18,ISIC_0012258,gradcam,model_parameter_randomisation,
resnet18,ISIC_0012258,gradcam,random_logit,0.5206570276260881
resnet18,ISIC_0012258,gradcam,completeness,
resnet18,ISIC_0012258,gradcam,non_sensitivity,
resnet18,ISIC_0012258,deep_lift,faithfulness_correlation,0.05143069848418236
resnet18,ISIC_0012258,deep_lift,pixel_flipping,444.7216796875
resnet18,ISIC_0012258,deep_lift,max_sensitivity,1.3477767705917358
resnet18,ISIC_0012258,deep_lift,avg_sensitivity,1.2813212513923644
resnet18,ISIC_0012258,deep_lift,relevance_mass_accuracy,-0.03925672546029091
resnet18,ISIC_0012258,deep_lift,pointing_game,0.0
resnet18,ISIC_0012258,deep_lift,sparseness,0.533091070941959
resnet18,ISIC_0012258,deep_lift,complexity,11.422039985656738
resnet18,ISIC_0012258,deep_lift,model_parameter_randomisation,0.2886309933445115
resnet18,ISIC_0012258,deep_lift,random_logit,0.5357597233894609
resnet18,ISIC_0012258,deep_lift,completeness,0.0
resnet18,ISIC_0012258,deep_lift,non_sensitivity,
resnet18,ISIC_0012258,guided_backprop,faithfulness_correlation,0.15269362926483154
resnet18,ISIC_0012258,guided_backprop,pixel_flipping,573.6416015625
resnet18,ISIC_0012258,guided_backprop,max_sensitivity,0.9241152405738831
resnet18,ISIC_0012258,guided_backprop,avg_sensitivity,0.918387484550476
resnet18,ISIC_0012258,guided_backprop,relevance_mass_accuracy,0.1011643186211586
resnet18,ISIC_0012258,guided_backprop,pointing_game,0.0
resnet18,ISIC_0012258,guided_backprop,sparseness,0.7055655542150262
resnet18,ISIC_0012258,guided_backprop,complexity,10.88773250579834
resnet18,ISIC_0012258,guided_backprop,model_parameter_randomisation,0.6272345094460485
resnet18,ISIC_0012258,guided_backprop,random_logit,0.9452463225950029
resnet18,ISIC_0012258,guided_backprop,completeness,
resnet18,ISIC_0012258,guided_backprop,non_sensitivity,
resnet18,ISIC_0012258,lrp,faithfulness_correlation,0.002463039942085743
resnet18,ISIC_0012258,lrp,pixel_flipping,647.074951171875
resnet18,ISIC_0012258,lrp,max_sensitivity,6551.443359375
resnet18,ISIC_0012258,lrp,avg_sensitivity,12.869008696079254
resnet18,ISIC_0012258,lrp,relevance_mass_accuracy,-0.26093539595603943
resnet18,ISIC_0012258,lrp,pointing_game,0.0
resnet18,ISIC_0012258,lrp,sparseness,0.9088340932505511
resnet18,ISIC_0012258,lrp,complexity,9.567675590515137
resnet18,ISIC_0012258,lrp,model_parameter_randomisation,0.42461582515781116
resnet18,ISIC_0012258,lrp,random_logit,0.9575959812696118
resnet18,ISIC_0012258,lrp,completeness,0.0
resnet18,ISIC_0012258,lrp,non_sensitivity,
resnet18,ISIC_0012258,occlusion,faithfulness_correlation,0.13461969792842865
resnet18,ISIC_0012258,occlusion,pixel_flipping,386.55865478515625
resnet18,ISIC_0012258,occlusion,max_sensitivity,1.3594915866851807
resnet18,ISIC_0012258,occlusion,avg_sensitivity,1.1963422060012818
resnet18,ISIC_0012258,occlusion,relevance_mass_accuracy,0.24652372300624847
resnet18,ISIC_0012258,occlusion,pointing_game,1.0
resnet18,ISIC_0012258,occlusion,sparseness,0.41941243528922856
resnet18,ISIC_0012258,occlusion,complexity,11.631668090820312
resnet18,ISIC_0012258,occlusion,model_parameter_randomisation,1.7851241540150385e-05
resnet18,ISIC_0012258,occlusion,random_logit,0.3679064070770515
resnet18,ISIC_0012258,occlusion,completeness,
resnet18,ISIC_0012258,occlusion,non_sensitivity,
squeezenet,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.052797190845012665
squeezenet,ISIC_0012258,integrated_gradients,pixel_flipping,75.55996704101562
squeezenet,ISIC_0012258,integrated_gradients,max_sensitivity,1.352044939994812
squeezenet,ISIC_0012258,integrated_gradients,avg_sensitivity,1.2927627086639404
squeezenet,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,0.17000743746757507
squeezenet,ISIC_0012258,integrated_gradients,pointing_game,1.0
squeezenet,ISIC_0012258,integrated_gradients,sparseness,0.6324632326942676
squeezenet,ISIC_0012258,integrated_gradients,complexity,11.17589282989502
squeezenet,ISIC_0012258,integrated_gradients,model_parameter_randomisation,0.366190576192935
squeezenet,ISIC_0012258,integrated_gradients,random_logit,0.6804027486295519
squeezenet,ISIC_0012258,integrated_gradients,completeness,0.0
squeezenet,ISIC_0012258,integrated_gradients,non_sensitivity,
squeezenet,ISIC_0012258,saliency,faithfulness_correlation,0.17457315325737
squeezenet,ISIC_0012258,saliency,pixel_flipping,67.57637023925781
squeezenet,ISIC_0012258,saliency,max_sensitivity,0.9466041922569275
squeezenet,ISIC_0012258,saliency,avg_sensitivity,0.9213365018367767
squeezenet,ISIC_0012258,saliency,relevance_mass_accuracy,0.10434480756521225
squeezenet,ISIC_0012258,saliency,pointing_game,1.0
squeezenet,ISIC_0012258,saliency,sparseness,0.6096317865450837
squeezenet,ISIC_0012258,saliency,complexity,11.245851516723633
squeezenet,ISIC_0012258,saliency,model_parameter_randomisation,0.33807881353630154
squeezenet,ISIC_0012258,saliency,random_logit,0.47561433378898443
squeezenet,ISIC_0012258,saliency,completeness,
squeezenet,ISIC_0012258,saliency,non_sensitivity,
squeezenet,ISIC_0012258,gradcam,faithfulness_correlation,0.2678220868110657
squeezenet,ISIC_0012258,gradcam,pixel_flipping,234.20785522460938
squeezenet,ISIC_0012258,gradcam,max_sensitivity,0.39447256922721863
squeezenet,ISIC_0012258,gradcam,avg_sensitivity,0.3712772220373154
squeezenet,ISIC_0012258,gradcam,relevance_mass_accuracy,0.09101284295320511
squeezenet,ISIC_0012258,gradcam,pointing_game,0.0
squeezenet,ISIC_0012258,gradcam,sparseness,0.6354802366684439
squeezenet,ISIC_0012258,gradcam,complexity,11.192194938659668
squeezenet,ISIC_0012258,gradcam,model_parameter_randomisation,
squeezenet,ISIC_0012258,gradcam,random_logit,0.5883935442701631
squeezenet,ISIC_0012258,gradcam,completeness,
squeezenet,ISIC_0012258,gradcam,non_sensitivity,
squeezenet,ISIC_0012258,deep_lift,faithfulness_correlation,-0.13202506303787231
squeezenet,ISIC_0012258,deep_lift,pixel_flipping,84.90614318847656
squeezenet,ISIC_0012258,deep_lift,max_sensitivity,1.3878889083862305
squeezenet,ISIC_0012258,deep_lift,avg_sensitivity,1.2825916409492493
squeezenet,ISIC_0012258,deep_lift,relevance_mass_accuracy,0.06494071334600449
squeezenet,ISIC_0012258,deep_lift,pointing_game,0.0
squeezenet,ISIC_0012258,deep_lift,sparseness,0.6558395056358949
squeezenet,ISIC_0012258,deep_lift,complexity,11.074408531188965
squeezenet,ISIC_0012258,deep_lift,model_parameter_randomisation,0.3309485859035376
squeezenet,ISIC_0012258,deep_lift,random_logit,0.7090098363125538
squeezenet,ISIC_0012258,deep_lift,completeness,0.0
squeezenet,ISIC_0012258,deep_lift,non_sensitivity,
squeezenet,ISIC_0012258,guided_backprop,faithfulness_correlation,0.05344797670841217
squeezenet,ISIC_0012258,guided_backprop,pixel_flipping,102.61258697509766
squeezenet,ISIC_0012258,guided_backprop,max_sensitivity,1.0941556692123413
squeezenet,ISIC_0012258,guided_backprop,avg_sensitivity,1.0278081595897675
squeezenet,ISIC_0012258,guided_backprop,relevance_mass_accuracy,0.11651518195867538
squeezenet,ISIC_0012258,guided_backprop,pointing_game,1.0
squeezenet,ISIC_0012258,guided_backprop,sparseness,0.7031895835652218
squeezenet,ISIC_0012258,guided_backprop,complexity,10.932236671447754
squeezenet,ISIC_0012258,guided_backprop,model_parameter_randomisation,0.696647066162715
squeezenet,ISIC_0012258,guided_backprop,random_logit,0.872930358112361
squeezenet,ISIC_0012258,guided_backprop,completeness,
squeezenet,ISIC_0012258,guided_backprop,non_sensitivity,
squeezenet,ISIC_0012258,lrp,faithfulness_correlation,0.15802907943725586
squeezenet,ISIC_0012258,lrp,pixel_flipping,61.48777389526367
squeezenet,ISIC_0012258,lrp,max_sensitivity,1.3656247854232788
